x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
2.28888,65.656177,0.274294,0.820214,-1.031029,-0.158824,3.05007,1.676446,-0.561178,0.463945,-2.499321,1.656832,3.286929
1.217225,60.810607,-1.384697,0.822016,0.121569,-0.089651,0.454254,2.944928,1.190498,0.380628,-1.840476,0.858352,20.940487
2.60771,71.803086,0.279509,-0.152072,-1.388147,0.425429,0.787161,-1.202986,-1.384237,0.375438,0.712652,1.181382,7.522464
2.029198,1.260843,-0.646441,-0.151346,-1.390543,-0.390333,0.21618,-2.605592,-1.079285,0.263659,-1.640665,1.235218,3.698404
0.034178,3.587527,0.107008,-0.988998,-1.319114,-0.290955,1.825027,1.020472,1.376956,0.047615,1.127474,0.271926,21.227044
2.548472,57.997171,-0.903862,0.438671,-1.938399,-0.180003,1.406997,-0.122563,-1.002877,-0.360001,-1.664038,0.447307,17.02605
2.82658,4.027123,-0.738093,0.184564,1.603193,0.016721,0.206614,-1.168757,-0.868451,-0.178543,-1.185817,2.305609,6.315393
3.893541,28.32407,0.452616,0.312824,-1.140658,-0.493555,0.967127,-0.26865,-1.95905,-0.010934,2.520058,0.11389,-16.382462
2.588549,70.891772,1.439525,-1.362903,-0.261571,0.372583,1.302115,-0.359523,-1.763968,0.299768,1.666841,1.095596,-3.419505
1.475292,25.085075,1.827293,-1.909768,-0.46755,0.473729,3.611374,2.833766,1.12045,-0.207823,-2.129397,0.493721,6.414986
0.72215,16.487383,-0.863527,-0.091388,-0.658111,0.041045,0.597048,2.342559,0.821286,-0.375517,-1.428872,0.504364,-1.231044
2.033295,9.219709,0.697157,-2.282432,-0.203703,0.043085,1.108224,0.459126,-0.719062,0.055629,-2.294669,0.538473,-12.155145
2.433766,78.641922,-0.258143,-0.346954,0.272619,-0.128185,0.671674,0.651889,1.288957,0.042022,1.037584,2.327607,31.664054
3.944256,38.803941,0.307925,-0.225615,0.678288,-0.300427,4.20908,2.922405,-0.823394,0.0312,0.002478,0.77949,-0.518033
3.947765,67.493908,0.383335,-0.100967,0.674973,0.131967,0.877727,1.192268,0.226623,-0.130693,-1.916001,1.578578,18.494514
3.855181,61.142355,-1.069505,-0.447174,-0.946078,-0.181267,0.238375,0.596473,0.309848,0.4023,0.317075,0.567167,11.548002
3.837738,32.588639,0.650889,-0.80665,1.01665,0.121253,2.050245,-1.365516,-0.789039,0.218493,0.257485,7.327891,10.222634
3.46142,98.808237,0.949305,1.576814,0.187179,0.185233,1.21378,2.335257,-0.993981,-0.47707,-0.422654,1.688629,16.110768
1.659304,91.803495,-1.779806,-0.945163,0.171836,0.324994,0.953569,0.832693,0.402036,-0.285392,-0.115772,0.684302,4.88483
3.636748,98.410751,-0.147425,1.28737,-0.286534,-0.396614,0.832517,0.805705,1.60941,0.45037,-2.558585,1.231084,6.234435
0.860324,27.518869,-0.918995,0.160256,1.230533,0.400818,0.886589,-0.676309,-0.698217,0.437072,-0.259167,1.422765,-3.117177
2.973565,86.882152,1.540042,0.999279,-0.13366,0.07854,1.735474,0.453324,0.525684,-0.067187,2.552231,4.364074,17.558232
3.351686,15.057187,-0.51159,-1.279634,-1.010994,0.440368,3.519386,-2.408138,1.875971,-0.283209,-1.388042,0.707508,32.066914
0.057601,74.14629,-2.02043,1.512452,1.069874,0.271663,0.433063,2.749949,1.082888,-0.293099,-2.091575,0.849158,31.47697
1.517962,65.800012,-0.506325,0.916397,-1.645804,-0.096706,1.287679,1.434804,1.713041,0.351152,2.629444,0.217797,52.180473
