x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-0.364426,-0.303644,-0.311623,-0.351234,1.318137,-1.318221,-0.02605,-0.426108,2.639523,2.511538,41.544806,1.933206,17.87319
0.091846,-1.676021,0.018008,-0.090491,-1.594686,-1.714091,-0.285599,-0.122893,2.333716,1.295982,23.019177,0.527466,14.206243
-2.240911,0.156768,2.557821,-0.271642,-1.749099,-1.746205,0.487054,-1.251625,0.621456,3.310566,5.831696,3.117976,6.507552
-2.614051,0.418519,2.273559,-0.467607,1.931807,1.936999,0.430053,-0.343904,2.078476,1.220378,74.459979,4.110201,43.856753
-1.716513,0.171133,-1.302451,0.105786,0.291055,-0.002635,0.062469,-1.209979,1.123336,1.727652,74.514875,1.334888,0.922758
1.894405,0.274049,2.501868,0.39359,0.373431,-0.65904,0.402665,1.48751,3.803283,3.7734,38.465387,1.27176,19.152838
1.864913,1.746351,-1.630754,-0.143327,0.180499,-0.666548,0.081153,-1.374861,1.046798,0.936619,0.502073,1.58274,3.612483
-0.816796,0.267803,-1.196538,0.472475,1.088828,0.998567,-0.251315,-1.919153,3.797742,1.516251,62.732065,0.799733,11.747765
1.60626,2.607784,-1.341619,-0.215244,0.359434,-1.816636,-0.030773,-1.009688,1.69687,2.307066,88.280724,3.77689,33.150042
-2.908843,-1.19657,1.167506,0.292426,-1.104141,1.270777,-0.407664,1.684854,0.510684,3.473008,10.821453,0.149651,11.265325
0.86497,1.117843,-1.390289,-0.06698,-1.051628,0.015614,-0.091088,1.530036,0.573558,2.540472,23.621558,0.316625,-6.782853
-2.474058,-0.319747,-0.887982,0.087447,0.966443,-0.107725,-0.453221,0.113668,1.286157,2.547847,79.529022,0.368045,13.50929
0.05672,-0.784275,0.05868,0.115459,0.524747,-1.739523,-0.318204,-0.283942,1.00473,1.141042,12.578356,1.918056,16.078248
0.154623,0.252451,1.817721,-0.263542,-0.440292,0.740711,0.08984,0.173026,0.330107,3.616048,94.75174,15.300707,-0.08614
-2.724245,2.845816,1.67563,0.4687,1.606768,1.520366,0.396063,0.243389,7.161778,2.468515,2.986733,0.492029,34.296373
-1.359968,0.732002,-2.500454,-0.210065,1.511044,0.187306,0.441722,-1.331193,0.260169,0.138634,96.929729,1.083328,27.632198
-1.702885,0.45618,1.388787,0.319155,-1.1808,1.916254,-0.127769,-0.783019,22.708585,1.349786,67.671187,3.063235,39.787211
0.890629,-0.104349,1.143034,-0.449772,-0.426518,0.471058,0.338174,-0.726176,0.387831,2.590121,42.836187,1.394623,-6.805795
1.85968,-1.076065,2.961918,-0.204942,1.148918,0.688548,-0.207516,1.044847,1.489118,3.245662,10.973196,0.691979,19.192654
1.580398,2.412095,-1.273919,0.163375,-1.147162,1.955965,-0.142096,0.504255,10.346033,3.653567,20.707912,0.297802,11.089166
1.792139,-0.204964,-1.964642,0.275161,-0.881911,0.850601,0.160078,-0.164108,2.438048,2.738485,23.004996,17.817294,-11.408387
2.405213,0.035082,2.050822,-0.468171,1.627073,-0.679079,-0.106848,-1.00435,2.918418,0.376318,75.809239,0.783958,30.638191
0.397868,-0.123204,1.87357,0.025783,0.988417,-0.502302,-0.11058,-2.174648,0.984268,3.171395,73.459863,1.652229,26.101382
-1.743061,0.105701,-1.850172,-0.018663,1.543669,-1.589376,-0.325251,-0.634353,0.947355,3.962904,50.551967,1.267853,12.922007
-1.802566,0.567752,0.78466,0.057542,1.67663,-1.970292,-0.088163,-0.792328,0.266419,3.040955,88.511199,0.997168,32.342771
-1.707723,-0.756525,0.992434,0.25389,-0.898667,-1.664145,-0.344021,-1.017131,0.837459,0.84185,33.981249,0.508113,9.338207
1.694745,-0.738998,2.162976,-0.317967,-0.500538,-1.934917,0.204016,-0.164156,7.686474,3.290154,39.66563,0.666098,30.360346
2.063523,-0.050317,0.161704,-0.324596,0.245876,1.993363,0.294073,0.654362,0.211662,0.032452,91.107996,0.333378,15.439568
0.891321,0.746907,-0.982031,0.146987,-0.933895,0.098099,0.107491,1.157256,4.816733,3.011723,99.935157,1.508727,16.821244
-0.86523,-0.005006,1.234731,0.342985,-0.370268,-1.606717,0.349326,1.562204,5.587296,2.19763,91.383611,0.636247,35.29397
-2.883575,0.469182,-2.269906,-0.473056,-0.60897,0.870825,-0.135932,0.373121,1.280331,2.41717,65.386053,2.594655,28.899332
2.953389,0.371422,-1.043868,0.144848,1.581009,1.039165,-0.490738,0.11015,0.282123,0.403846,11.449272,1.127778,7.732105
1.090855,0.646261,0.950134,0.362998,1.503355,1.606277,0.07592,0.825815,0.958441,2.947533,56.128814,3.657851,25.021144
-0.181511,0.252268,-1.506722,0.152953,-0.550978,0.13057,-0.186196,-0.235574,3.346684,1.571655,57.973347,0.515398,-4.483328
-2.760567,-1.45539,-0.79094,0.201188,0.723141,-0.051119,0.242664,-1.229168,1.337098,0.570266,95.317416,0.306656,5.510068
2.351891,-0.769595,-1.035231,-0.458043,1.740815,-1.736984,-0.346056,-0.354871,0.66285,1.616247,93.396378,4.380051,30.733362
0.685703,1.234129,-0.886286,-0.131654,0.972255,0.891274,0.368418,-0.764121,1.19438,3.92998,64.035204,0.964746,13.404052
-0.627468,-0.118518,-0.476837,0.044355,0.328604,0.98549,0.074262,-0.055595,1.460102,2.861172,65.718206,1.11633,6.85249
0.604129,-0.349848,-2.652555,0.138645,0.637377,0.129467,-0.189108,0.572291,1.598448,0.027731,29.055688,3.265967,-1.027653
2.840073,1.739614,1.872904,-0.045812,1.141989,-0.42797,0.106647,0.217168,3.975474,2.903502,49.364731,0.727216,18.847665
0.689737,-1.092074,-1.848372,-0.41891,-1.668642,-1.347874,0.477152,0.305551,0.671212,1.712177,30.9619,1.778061,-4.16475
-1.436575,-1.297155,2.818161,0.462257,0.479346,-1.739747,0.354999,-0.101586,0.560626,2.101573,66.595929,0.349938,46.879537
-1.333633,0.83956,0.986338,-0.243851,1.585764,1.33501,0.159565,-0.499468,0.678002,1.298036,36.943037,0.389085,24.647027
0.594983,1.447311,2.40401,-0.231083,1.731099,-0.92561,0.027821,1.068757,3.351381,3.609381,62.55365,0.826311,32.720933
0.994698,0.13144,1.785129,-0.303498,-0.963115,-1.625803,-0.142299,-0.139004,1.109859,0.301177,96.711995,0.629962,21.027277
-2.010643,0.167147,2.40378,0.306843,1.196627,-0.374702,-0.35255,-0.129436,2.34595,2.26175,32.635739,0.880836,27.087063
0.185072,-1.013749,-0.558648,-0.436399,0.835695,1.766758,-0.406481,1.639008,0.658806,0.400704,71.283861,1.979621,30.390057
-1.910105,-0.766685,-1.874619,-0.022911,-0.489012,-0.146448,0.247134,-0.333324,4.445011,1.417087,73.482977,1.488521,21.967979
-2.118625,0.149763,-0.231407,-0.392889,-0.950507,1.819671,0.12224,-0.071975,2.309335,0.930918,57.654602,0.449571,16.322478
-0.771766,0.573299,2.898646,-0.287628,1.661489,0.445733,0.347488,0.169741,0.11273,2.399026,39.968304,0.688686,4.601097
-1.509093,-1.914976,-0.522303,0.431704,-1.61407,-1.318372,0.378437,1.887672,0.062318,2.744879,90.211724,1.674076,-4.719538
2.689559,2.722245,-2.642261,0.491849,1.459028,-0.386565,0.274918,-0.332495,1.271223,0.739757,54.817303,1.015024,-19.123897
0.857823,-0.96471,0.165714,-0.102105,1.461698,1.426987,-0.483258,0.026197,0.913849,2.820492,50.527206,2.371166,13.422043
-2.256211,-0.052651,-2.715028,0.146465,-0.528532,-0.436092,-0.208314,-0.638559,3.4384,3.925036,88.548515,0.944164,1.908645
-2.714954,0.284887,2.828228,-0.246279,0.915709,-1.026125,0.254947,0.815449,4.718403,1.773908,19.652847,0.310042,2.091248
-0.676374,0.687225,-0.731665,-0.08183,-1.217207,1.448654,-0.185467,-1.553012,4.195295,2.436728,10.813214,0.633748,10.992911
1.612241,0.514292,2.489806,-0.02853,0.215534,1.768447,-0.213994,1.514817,0.304384,3.410287,82.152624,0.468808,21.821613
-1.257562,-0.063262,0.09188,-0.451092,1.482162,0.392619,-0.306312,0.485163,0.506795,3.161501,18.628774,0.29889,16.866211
1.301563,0.388647,0.213612,-0.498845,1.795689,1.281131,0.452703,0.12734,1.284767,1.406473,12.744026,1.262562,20.126688
-2.116479,-0.347564,0.790259,-0.246967,1.085542,1.713824,-0.486852,-0.805765,3.024208,1.291628,73.935024,0.234354,42.546784
0.766476,-1.523299,-0.823772,0.427073,0.94615,-0.09835,0.148917,0.010248,8.850055,3.77686,98.400311,3.088466,7.856825
2.804746,1.615821,-1.209273,-0.489445,1.572624,1.512931,-0.362516,-0.822331,0.829198,1.552801,1.118814,13.60201,16.581309
2.808946,0.381696,-1.448071,0.034504,-0.929055,-0.038674,0.244236,0.003982,4.161643,1.708924,8.470964,0.435517,-11.187495
0.162725,0.51237,1.081413,-0.065075,0.73246,-0.943244,-0.204198,0.272023,0.38035,1.27596,37.439865,0.870399,5.752034
-1.831006,-0.623067,2.990311,-0.463442,-0.15071,0.505311,-0.328305,0.701311,1.011769,3.326429,74.399711,0.929213,11.376294
-1.309888,0.317578,-1.847846,0.003757,-0.288762,1.498971,0.431739,2.432287,0.57775,1.144112,66.294095,2.173734,17.766732
