x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-1.498336,0.192455,-1.244251,0.091795,-0.111702,-2.221272,-0.439304,3.09854,-2.350253,3.425904,1.459895,0.589985,5.323924
1.672177,-0.448239,1.374524,0.485296,-0.466817,-2.737974,1.126366,26.408158,2.909528,3.440551,0.905793,0.538129,33.656978
0.054987,0.125753,-0.632351,-0.134442,0.426393,-0.167786,-0.474356,28.273308,-1.431947,2.568216,0.395271,0.335722,-0.536474
0.573908,0.486543,-0.943854,-0.285156,-0.176624,-0.563663,1.62949,18.553815,-2.841749,0.970232,1.095822,0.197632,16.553788
1.505131,0.1522,0.637964,-0.238874,0.474962,0.423138,1.276124,16.955394,2.755664,2.414125,0.44642,0.10356,17.847958
-0.351828,0.295008,0.872411,0.424502,-0.526736,-0.194417,-1.76897,86.800477,1.186066,1.360262,0.940586,0.982633,9.837985
-0.650597,-0.30945,-0.931788,0.314622,2.103068,1.225645,1.31845,58.973521,2.884563,3.477445,0.183463,1.645717,25.514732
-0.431538,-0.272102,-0.042148,-0.197441,-1.098881,2.31461,-1.70652,45.420445,-2.194143,3.90898,1.044239,1.38655,-13.981746
-1.312089,-0.239771,1.393705,-0.096659,1.35945,-2.650984,-1.764617,94.769103,-2.636324,1.702257,1.331667,0.576508,-8.843034
-1.081415,0.361562,0.497886,0.409322,-0.969823,-0.670874,-1.079272,47.025013,2.115618,0.707557,10.897484,0.253167,-1.249822
-0.904452,-0.217756,0.133182,0.327936,0.943405,-0.355913,1.631434,65.265886,-2.890942,2.32691,0.893667,1.296993,24.189182
-0.698713,-0.041,0.667801,-0.016173,0.332181,0.136122,0.803553,93.357715,1.993231,1.299738,1.49779,4.432008,34.29047
0.672165,0.079295,-0.92111,0.461166,-0.695697,2.482446,-1.32072,34.159143,-0.53511,1.929482,7.881823,1.103565,-8.299101
-1.521371,0.444241,0.703344,-0.486087,-0.070076,0.76182,-0.317327,30.568657,1.492124,3.117994,0.278943,0.342288,10.941688
