x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
0.338506,3.975794,-2.999395,-0.050733,0.309066,-0.407324,-0.8391,0.413101,-1.633842,0.851716,74.483881,0.196775,4.16332
0.313792,0.51798,-1.153991,-1.243263,1.73258,-0.053864,1.71782,0.449316,1.749885,0.355477,17.577145,-0.205979,23.180107
0.253108,0.921176,-0.532211,-1.233842,0.394958,-0.443663,0.700728,8.316363,0.008215,1.120978,67.294007,0.040496,3.570798
0.09618,2.171562,-0.64196,1.794303,0.475449,-0.036405,1.236766,1.723721,1.402861,0.882661,76.288744,0.241866,20.072883
-0.154702,2.237919,-0.801496,-0.840962,1.004506,-0.477248,-0.829849,0.47248,-0.851524,1.056622,10.213356,0.121866,8.637263
0.177103,3.554031,2.822521,-2.80443,-0.802007,-0.59516,-3.191099,1.917835,-1.174198,0.40402,0.023772,0.259935,19.018078
0.263793,0.363012,-0.02805,0.821181,0.132233,-0.982867,0.145748,0.634002,1.404745,2.832308,74.810894,-0.132912,30.33929
-0.125232,3.254246,2.406357,1.981982,1.624477,-0.867617,0.461025,0.498092,0.40903,0.481057,96.71366,-0.104671,37.093511
-0.437224,3.142242,1.858867,-0.79859,-1.161152,-0.984291,0.317535,7.862658,-1.71736,0.272943,96.16153,-0.097945,24.09615
0.169032,1.76729,-1.644678,-2.483232,-0.454301,-0.00494,0.254469,6.331667,1.100365,1.644889,66.239053,0.431307,3.139726
-0.058647,1.97908,0.128662,1.156158,-1.506433,2.154994,1.216463,0.860866,0.336466,4.707757,88.022525,0.218629,6.135044
0.061796,2.548776,-0.121383,0.978563,0.532626,0.246886,1.650735,0.8407,-0.093663,3.014996,92.918582,0.484155,15.148636
-0.080257,2.062701,-1.012792,0.803101,-0.182806,1.26718,0.150731,0.776475,0.415676,1.37661,79.828262,-0.463498,22.061318
-0.346573,3.542354,1.674008,-1.122474,0.849337,-0.885967,-1.088005,3.342983,1.383199,3.253305,64.177932,0.381208,42.730112
0.362065,3.27518,2.742098,-0.049023,1.049467,-1.089279,0.330877,1.115372,0.501708,0.514177,28.132665,0.122704,22.013569
0.216646,0.672147,1.213492,1.547325,1.929547,0.656718,0.26035,0.192869,-0.778301,0.596671,70.503469,-0.4782,16.774891
0.152381,3.261595,-0.490893,-1.56211,-1.622155,-0.50558,-0.055306,0.69806,-0.653454,0.07808,2.711262,0.248586,-2.132892
0.41736,0.913991,-1.5461,0.637732,-0.837854,-0.559472,-0.933935,0.920643,0.488078,0.179928,17.8554,0.465064,-9.13649
0.075267,0.705259,-0.753314,-1.036319,1.665268,-0.673254,-1.009329,1.658537,-1.990601,0.524128,8.333687,-0.236277,19.958299
-0.137525,0.053874,1.946073,0.893847,1.846155,0.327235,0.554806,1.367372,-0.538637,3.887526,30.040304,-0.25655,28.018144
0.087752,0.503883,-2.780045,-2.772612,1.159767,0.301621,-0.562972,0.442676,-0.017845,0.624786,57.873604,0.341186,-7.208296
0.304981,2.503231,-1.642284,0.665496,0.574565,-1.063307,0.895938,1.671576,1.677232,0.37572,3.394212,-0.408603,12.385144
-0.138968,0.069141,-2.864533,-1.025569,-1.343776,-1.6305,1.431876,0.279649,1.611406,0.382385,61.767508,-0.115546,15.82188
0.251609,0.186763,-1.724846,1.769322,0.987205,0.612775,-2.863761,1.778022,-0.034693,0.279502,75.476724,0.33789,8.820384
-0.079738,0.85105,-2.253332,-2.146901,0.485993,-0.068202,0.062915,0.136084,0.118637,5.032103,62.523687,-0.157945,13.010339
-0.16646,1.006426,-2.620463,2.489039,1.222505,0.088976,-0.807668,0.478522,-1.957812,0.555588,94.159683,0.45316,10.053963
-0.155829,1.982769,1.049707,0.484698,0.701894,0.297056,0.671111,2.561483,1.220424,0.731293,12.92633,-0.097407,5.443111
-0.164964,2.128839,1.282336,-1.911363,0.208251,-0.374025,1.179567,1.858048,-1.523604,0.80933,23.379644,0.265755,24.291699
-0.065448,0.155077,-2.531284,-1.531277,1.576827,-2.683348,0.835009,0.549941,1.170136,0.70103,42.630774,0.335136,3.557526
0.035058,0.806368,0.961171,-1.135229,-1.162344,-0.280516,-1.333215,1.225441,-0.157766,1.138468,91.437215,0.121528,1.27966
-0.26076,3.611963,1.317083,-2.262797,1.850095,-1.168205,-0.017615,2.019907,0.404955,1.196181,31.72184,0.234603,16.550252
-0.163532,0.437895,1.753212,0.267095,0.345707,0.457483,-1.313322,2.457669,0.92349,1.000775,22.255763,0.083974,8.81856
