x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-0.777651,-0.234459,1.108896,2.785034,-1.400466,8.597518,1.134113,0.386313,-0.252589,3.21162,32.325798,-0.15505,16.756955
-1.709381,0.093554,1.687472,-1.192003,-0.870991,0.755,0.802714,-0.155257,-1.213949,3.819667,63.194842,0.419766,35.564378
-0.428594,-0.369855,-0.122945,1.354077,0.245284,1.131881,7.301925,-0.708543,-0.041101,0.41705,15.867235,-0.326495,9.773942
1.514324,0.365746,0.700516,2.57499,-1.867428,1.435047,1.031083,-0.513434,0.935062,2.327291,6.860784,0.251303,37.148807
-0.637712,0.295929,1.098633,0.284204,0.381076,0.392049,0.939438,-1.459177,-0.454181,0.685528,52.754459,-0.348743,6.369704
-1.994236,0.435278,-1.033804,2.190185,-1.55677,1.531264,5.070706,-0.388048,-0.564539,0.664366,79.110964,0.101118,44.279409
-1.765853,-0.410206,-0.457329,-2.601977,2.983376,2.67474,1.297214,0.583107,-0.935439,2.877379,65.695506,-0.206881,28.809157
-1.728166,0.434373,-0.208778,-1.087118,2.696196,0.607046,0.636794,-0.586238,1.176749,0.099206,74.356057,0.205786,12.172024
1.147277,-0.164292,-0.490883,2.537822,0.45867,0.184335,1.205917,-1.748755,-1.460463,2.482455,38.635964,-0.301307,9.369823
1.647173,0.486358,-1.782989,-2.78605,-0.731201,1.182142,5.276697,-0.872909,-0.677772,0.715248,29.509444,-0.293154,-18.618803
1.490788,0.216804,-0.907887,1.9381,-2.945437,0.345294,0.830027,-0.738557,-0.920733,0.009601,2.130401,-0.140048,16.421131
-1.477803,-0.381048,-1.191401,0.047624,-0.833374,1.068003,1.527909,0.114272,-0.282504,2.131741,38.615448,-0.243247,15.169168
1.792292,-0.44378,-1.914893,1.502824,2.144938,6.320563,9.241607,0.411263,0.974674,0.629497,28.919106,0.454641,-0.987009
-1.202323,0.011775,-1.942991,1.090833,1.024454,7.693072,0.238245,0.092311,-0.474986,2.768713,7.328947,-0.484988,-21.952134
1.710058,-0.095644,1.264821,1.098787,-1.437522,1.130053,0.651464,1.25214,0.401202,3.907257,56.964492,-0.08996,15.739852
-0.217433,0.452735,1.948076,-2.736807,2.045785,1.620513,0.877123,0.543515,1.274886,1.31826,41.453144,0.233803,12.302559
-1.036543,-0.193665,0.282413,-2.27913,1.277689,2.771513,2.785423,-0.519086,0.58872,3.917348,55.567302,0.300642,0.912703
-1.294056,-0.080872,0.862651,-0.188399,-0.883352,0.57962,2.290084,-0.637813,-0.152588,2.748367,84.058266,-0.371646,20.03012
-1.157898,-0.410456,-0.290254,0.972794,2.361348,0.750704,0.878126,-0.579493,-0.41295,2.93714,60.838195,-0.029589,18.951233
1.252789,-0.180899,-1.274463,-1.69898,-2.197105,7.953096,0.22762,-0.551941,-0.017469,0.644028,63.368937,0.087846,4.867262
1.101309,-0.133341,-1.129664,-2.995879,-2.662811,1.789539,6.127823,-1.096184,-1.241045,2.150897,26.087774,0.43668,10.072434
0.074666,0.213361,-1.822459,2.553719,-1.584541,2.468082,0.178267,0.763499,-0.569137,3.901832,79.895524,0.119731,-8.174922
-0.550269,0.234487,-0.799019,1.531422,1.565003,2.518756,2.171344,-0.190352,1.0315,3.889785,18.712531,0.4791,11.242671
1.469683,-0.1323,0.781544,-2.133827,0.770139,0.717379,1.052042,-1.654586,-0.317218,1.037644,91.415478,-0.165195,21.440343
-0.696191,-0.450488,1.806229,0.528741,-1.954039,0.154541,3.332515,-0.637478,-0.954521,2.776461,19.234096,-0.376993,12.060163
0.299171,0.343374,-0.220291,1.016495,0.568967,3.622852,1.477294,0.115385,0.215674,2.626086,95.745978,-0.321702,15.346966
1.976386,-0.463006,-1.337603,1.493219,1.777964,0.450798,0.932966,0.135397,-0.592501,3.82243,2.121298,0.213628,9.670365
-0.967165,-0.091697,0.264315,2.484828,2.025151,2.180367,1.211617,2.308188,1.63387,0.442948,10.448745,0.157049,15.062014
0.132155,-0.138402,-1.367482,0.578467,1.938773,5.579976,0.076921,1.277983,0.916763,2.923557,43.151818,0.10892,-16.619914
0.470061,-0.132722,0.601691,-1.239767,-2.050531,1.314664,0.388689,0.62271,-0.011322,2.945312,22.427508,0.068942,-8.497415
1.314982,-0.172028,0.701678,2.689571,-1.10503,1.399067,3.221218,-0.458179,-1.256329,3.717192,5.670114,-0.297448,9.370371
