x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-1.711394,0.200095,-0.134219,0.644562,-0.004468,2.785384,-0.420586,-1.323368,2.81921,21.500417,1.980972,0.24558,-0.19799
0.291402,-0.429622,-0.149626,1.224283,-0.262517,-2.119693,-0.312469,-1.806659,1.577783,26.473648,2.263868,1.049301,22.502358
0.044426,0.783465,-0.129965,4.384204,-1.943975,-0.080423,0.251681,1.608279,-2.441137,4.681064,2.119462,0.339111,17.011566
-0.142584,-1.054203,-0.198877,2.679759,1.20451,2.223396,-0.434331,0.126667,-2.064154,62.958144,1.919943,0.011261,14.486342
0.130689,0.463151,-0.464864,11.373691,0.483309,-0.978018,0.217368,-1.768409,-0.881143,5.960152,0.275475,3.408216,23.818253
1.993648,0.604757,-0.299692,0.353203,0.59063,-0.79117,0.291934,-0.982542,-0.457989,36.198232,9.88134,1.105178,25.844227
-1.654048,-0.367675,0.088815,0.496733,-0.018872,0.932108,-0.444948,-1.475215,0.917662,10.776593,0.559765,3.966063,3.199715
-1.147965,-0.23564,-0.173317,0.574063,0.196789,-0.39951,-0.065692,-1.085297,-1.823476,33.13457,0.21099,1.559192,6.737465
-1.103822,0.056838,0.483865,0.449726,-0.218962,-1.751654,0.113599,0.460457,0.538195,3.449341,0.422067,2.664621,-5.564274
-1.404685,-1.799679,0.028456,4.706281,0.235735,1.299874,-0.033218,-1.230901,2.021808,64.491379,0.59506,1.274772,25.251474
0.250826,-0.204496,0.052548,0.442371,-0.628545,1.954568,0.373372,0.951706,2.00553,43.060064,1.628177,2.380172,17.534644
0.017256,-1.432242,0.427926,1.506588,-0.560571,-2.496018,-0.301127,1.098226,-0.565103,59.248411,2.697569,3.652011,1.022553
0.676836,0.98447,0.209445,0.111883,-0.188735,-1.065556,-0.302936,1.567817,-0.426463,93.01685,0.392718,3.995956,14.688799
1.038453,-1.135479,-0.301891,0.43783,0.585157,1.285566,-0.028549,-1.851636,-2.841468,95.828061,2.145079,3.423625,33.155586
1.517569,0.577748,-0.177421,0.942732,-0.138481,0.342043,0.193931,0.571502,1.436696,37.044705,0.342222,1.188216,20.877076
1.236957,0.747089,-0.385091,0.847873,-0.475848,1.098333,0.45746,-0.175842,1.669771,32.329105,1.654911,2.840607,5.200658
-1.12651,-0.784235,-0.208552,0.895877,0.562088,-0.203948,-0.472302,-1.062498,-1.231327,17.585569,4.421948,2.123039,7.94921
-0.976154,0.828617,0.117054,0.930078,0.565404,2.649057,0.161325,1.187601,-0.563784,7.949877,2.468403,3.168384,5.54174
-0.573446,-0.808411,-0.112982,1.971914,0.869532,1.906728,-0.010661,1.465985,-0.720145,85.035534,0.809246,0.809977,18.401069
0.350323,2.560523,-0.267553,2.453017,0.287027,2.243926,-0.372028,0.466763,-0.863347,32.756544,2.987153,3.426695,14.248087
1.911013,-1.458498,0.074845,0.094762,-0.245969,1.196893,0.252377,0.108839,2.628813,24.270358,0.590815,0.180535,33.100498
-1.612861,-0.379413,0.460596,4.548777,-0.887242,-0.648372,0.37106,-1.723262,-2.081368,96.279993,0.674865,1.906673,-0.434511
0.91059,0.515755,-0.462493,1.030496,0.452267,0.35241,-0.44872,-0.878563,2.156273,62.195178,0.093065,0.270445,21.999626
0.974565,0.567466,-0.35001,1.851358,-2.021757,-0.663281,-0.000753,-0.30946,0.180375,9.794057,0.678272,0.747947,9.718816
-0.091068,-1.044585,-0.40985,1.554193,1.6244,-0.907432,-0.346331,1.016709,1.770892,91.08134,2.282666,1.838339,6.485105
-1.273331,0.734373,-0.39463,1.705617,-0.069548,-2.812627,0.054945,-0.395412,-0.158334,48.940128,0.367242,3.46175,-5.138255
-0.650947,-0.707697,-0.498696,0.476094,0.752626,-0.690734,0.074805,0.941421,-1.939763,10.488276,0.396542,0.736234,-0.666062
-1.556063,0.00051,0.466498,1.367682,-0.670543,1.9925,0.423151,-0.585403,-2.206326,31.569805,6.336491,0.409858,-15.313669
-1.71576,-0.092981,-0.003836,0.935852,0.338919,2.762277,0.463773,0.757378,-0.678344,35.25003,0.783924,3.879197,-8.5569
0.516478,-1.581217,-0.211085,1.812953,0.083356,2.115482,-0.143329,0.638901,-2.366844,84.94052,0.903886,0.881536,8.607194
0.817047,0.048029,-0.323741,0.489659,0.401112,-0.086013,0.193906,-1.682727,-1.525859,59.000038,0.852911,0.810734,1.763726
