x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
0.214155,1.390304,0.170116,1.119986,0.707775,1.996171,2.365967,1.489694,32.420571,-1.269936,0.391091,-0.134001,31.267338
0.152242,1.131811,-0.118278,2.877838,0.802716,-0.140802,-0.461219,-0.006143,11.669437,-0.596547,0.178812,-2.091088,-6.776922
1.021906,-1.193502,-0.192995,0.613706,8.147668,-1.879427,0.200818,2.329083,18.292502,-0.664372,0.417161,2.590257,27.877896
1.780869,0.317572,-0.284673,0.325806,1.273832,-1.730625,1.418816,2.168514,58.795095,-0.039202,0.131093,0.401227,26.32844
0.105895,-1.220792,0.370353,1.55835,3.627891,-1.99586,0.07156,2.593989,95.299136,-2.152092,-0.482576,1.474227,0.298131
4.721512,1.208771,0.079833,2.302576,1.305971,-0.173334,-1.663668,0.87664,44.527126,-0.858247,-0.418011,-1.741057,18.184022
0.455652,-1.147698,-0.36682,1.65734,1.435294,-1.071031,0.236595,1.561446,54.336151,2.209096,0.276189,-2.009292,4.368129
3.869153,0.324141,0.410503,1.223641,2.16153,0.328738,1.210453,-0.72823,10.120255,1.612769,0.386548,0.394456,6.165763
2.595623,-1.947598,-0.376576,0.391347,0.967968,-1.716395,-1.461472,0.602635,19.026273,-0.978277,0.453077,0.489082,7.639954
1.363693,0.997016,-0.0019,1.981914,0.713673,0.633258,-0.537562,-2.34625,38.814691,-0.57384,-0.102151,1.120363,6.936625
0.41646,-0.311357,0.313713,2.436439,3.372143,-1.560526,-0.40814,0.736797,72.92132,-0.014405,0.044813,1.851852,24.793219
0.579514,0.486835,0.037585,3.954515,1.766227,1.695521,0.382316,-2.725997,3.505963,2.339928,-0.124784,2.329485,4.446102
0.540045,0.356263,-0.371263,3.068848,2.274302,0.574048,0.631953,-0.101882,85.104853,-0.138911,0.331446,2.907347,14.160324
0.676139,1.382984,0.135352,1.666565,7.884456,1.629169,0.230682,2.940029,11.540868,2.081978,0.223115,1.876007,17.257349
0.482379,-0.622551,-0.151452,2.211161,3.327042,-1.993145,-0.338148,0.073737,40.852029,0.934348,-0.382815,2.819171,15.572115
0.869535,1.247656,0.377296,0.795096,1.384512,-0.482369,1.436244,0.917504,67.756691,0.777632,0.084094,-2.002156,15.1252
0.884201,0.285108,0.495999,1.181931,2.154888,-0.174942,1.615115,0.614696,41.673109,1.211122,-0.079475,1.141708,11.880452
2.058163,-1.212357,0.102329,3.214927,1.153135,1.508909,0.442678,2.992505,80.812494,1.183243,-0.041726,2.006109,21.434116
0.179251,-1.00128,0.343343,0.363924,2.867981,-1.813835,0.149126,1.037274,2.126362,-0.23335,-0.004659,2.337153,18.192297
0.660679,1.189253,-0.192106,3.712928,0.239408,-1.325384,3.336942,-1.340408,74.951978,-0.20043,0.451074,1.947851,7.035223
4.832142,-1.526528,-0.259239,3.816439,1.442677,-0.845008,1.354643,-0.971897,31.704659,0.081841,0.271005,2.424638,-8.054556
0.38133,-0.752373,0.306266,3.196235,14.131676,-0.141648,0.801148,2.711402,13.594796,0.543831,0.493614,-0.665486,18.732103
2.062703,1.456694,-0.240253,3.362045,1.965777,1.517798,1.997946,2.686444,82.398018,-0.287394,0.218388,-0.888504,52.550524
0.911458,0.890739,-0.200866,1.893967,1.44796,0.591304,1.25688,2.012849,96.038231,-0.029633,-0.496739,-0.764986,5.046435
0.064048,-1.379896,0.400475,3.641962,0.137877,-0.815962,0.284838,1.125996,59.188139,0.94112,0.456057,-0.549118,-2.888321
1.526199,-0.85879,-0.122361,0.03936,1.159994,-0.42303,-0.685465,2.972432,50.803864,0.426307,0.27395,1.048747,17.670619
0.328744,1.272257,0.246061,3.010549,0.483624,1.984921,-1.551536,-1.564818,61.78105,0.261057,0.357085,0.201176,30.224258
0.279086,0.395886,0.337151,2.439307,0.482455,0.07709,-0.931493,-0.781047,44.591495,0.147888,-0.341332,-2.50774,2.875598
1.061967,1.709216,0.447176,3.015876,0.976173,-1.832167,0.053713,2.495233,40.254721,-0.259533,-0.349315,-1.794754,28.313623
1.293356,-0.018208,-0.333218,0.566271,2.502487,1.029501,0.872341,-1.861731,98.134983,1.51418,0.48335,1.825841,6.003941
0.381787,-0.664519,0.201714,3.507448,1.555017,1.868532,0.718308,1.64726,56.999386,-1.03549,0.174249,2.14205,19.385033
