x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
0.068434,0.142314,1.439959,1.255784,0.257197,-1.640281,0.982262,92.597121,1.850238,0.154532,-1.801898,-1.272056,10.645796
1.042498,0.362305,1.33476,0.553136,-0.449122,2.984783,0.433549,4.550458,2.728899,-0.255231,-1.505692,-1.192053,6.318747
1.625906,0.339635,1.320714,-1.212849,-1.245658,2.621532,0.881984,91.91208,0.972858,-0.225379,-1.340934,-0.336714,18.986289
15.939307,0.152425,1.45029,1.879365,0.371861,-0.733249,0.138374,19.513928,0.653114,0.491327,-1.596501,-0.790144,21.200935
3.107326,0.324494,1.48022,0.677291,2.201735,-1.110639,-1.249218,41.70412,0.964409,0.221824,-0.186848,1.724695,18.042366
1.201223,0.337778,1.34448,-0.644539,-0.635423,-0.815287,2.143219,98.135808,3.470602,0.351386,1.494864,0.173573,31.479792
1.547986,-0.227091,2.312971,-0.943912,-0.972249,-0.766559,-0.620177,51.070142,1.879822,-0.099641,-0.967009,-0.154717,-3.921023
0.286927,0.005455,1.279849,1.4433,0.10369,-1.739658,-2.759128,84.304356,0.844425,0.283916,1.206849,1.609615,6.569046
0.245437,-0.035677,2.206549,1.545702,1.050576,1.6348,-2.397568,65.510444,0.447222,0.12409,-0.474088,-0.295649,15.225122
0.289132,-0.036175,1.272389,-0.044185,-0.807671,2.748672,2.926799,88.228475,0.713767,0.160022,-1.291855,1.044468,11.327126
2.476957,0.19863,1.271061,-1.094702,0.490654,-2.171374,-2.950622,24.023575,2.82074,-0.147617,0.276796,0.303894,-17.019788
0.603903,0.160618,1.172461,-0.759722,1.572921,-2.933701,0.081922,95.786116,0.980461,-0.196743,-2.155992,-0.544571,17.683096
0.857855,0.396002,0.649021,-0.057827,-0.112205,-0.764136,-1.778852,77.873988,2.898264,0.497906,0.097453,-1.745326,-1.548217
2.97443,-0.179544,0.352219,-0.848228,0.155997,-0.027397,1.77488,68.107033,2.127468,0.121275,-0.220669,-0.071826,16.863719
0.938235,-0.097923,0.576999,1.303499,1.178486,2.721546,1.728841,94.268106,0.60997,-0.034236,-0.126546,1.788308,26.857814
0.870044,-0.335213,7.739169,1.83717,1.995887,2.137108,-2.654162,50.165421,0.301213,0.267551,-0.69303,-0.040155,28.330001
1.065531,0.482761,0.080441,1.028601,0.407523,0.046729,-1.494047,45.945966,3.814521,0.150892,-0.643526,0.608779,-13.242485
1.862748,0.407423,1.0205,0.077434,0.298934,-0.076843,0.727311,79.518867,0.685127,-0.045333,0.099237,1.473341,15.894279
0.538915,-0.246593,2.766881,-1.791084,0.753555,-1.600493,1.844752,41.813385,2.837761,-0.341671,1.108135,0.653912,-19.253781
1.139298,0.153307,1.569205,1.973301,-0.679148,-2.231928,0.739737,62.908293,0.497095,-0.238264,-0.308698,-1.578114,42.560888
3.072344,0.158844,1.345801,1.973903,0.026935,-2.628112,-2.459441,95.752046,2.879578,-0.336988,0.151025,0.424663,22.359354
0.959073,0.397728,1.504012,1.069696,0.56796,1.402821,0.469333,26.245324,3.675638,-0.398165,0.796324,-1.395088,5.708943
2.739125,0.172331,0.891543,-1.510544,1.561976,1.432652,-0.099967,60.522659,3.48612,-0.113387,-0.931003,-0.588703,3.737839
