x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
17.714626,0.114204,-1.09457,-1.674187,0.421955,-0.901019,87.99059,2.7303,-0.3974,1.835396,-1.87739,-0.313455,6.616719
1.604832,-0.234925,2.151211,-1.302902,1.119646,1.26338,21.177401,0.809584,0.145037,-0.292356,1.353777,0.399385,-1.711183
2.353956,-0.948751,-2.696048,0.488483,0.954342,-0.53569,68.169841,3.227908,-0.177283,-1.396302,2.393848,-0.181742,34.475875
1.492629,-0.222766,-2.196672,1.791764,0.369471,1.98622,75.639736,1.099123,-0.290573,-0.34028,0.906264,-0.315103,32.47453
0.727872,-0.357165,-1.177114,0.537061,2.026939,0.540531,25.126134,3.085493,0.160244,1.585811,-0.195615,0.088959,15.220861
0.844077,-0.952582,-1.736245,1.679599,3.378656,0.71717,10.154334,0.158712,0.077304,-0.901422,-0.188591,0.212222,20.681495
1.034528,0.304246,0.449078,-0.746693,1.842923,-0.285911,9.460967,1.671227,-0.380738,-0.613198,-0.733185,0.395895,6.86565
0.305181,-0.764776,0.894977,1.032312,3.10491,-1.231703,77.361239,2.887599,-0.270112,1.063608,-2.846129,0.39267,20.311932
0.435498,-1.076142,-1.038071,-0.07466,1.196317,0.935141,59.582462,2.697219,-0.391676,-0.330211,0.03419,0.466975,-8.92551
0.976606,-1.937866,-0.854216,0.331365,3.444401,1.086322,12.199246,2.653331,-0.177576,1.926984,-1.208055,-0.349115,9.440866
0.135573,0.121768,-0.589705,1.404461,0.313432,-0.143479,8.594475,0.264195,-0.480105,1.524505,0.685665,-0.031702,25.788429
0.859479,1.371851,1.265626,1.480918,0.622541,-0.258385,62.42209,2.005182,-0.176067,0.360589,-0.30096,0.184688,22.607618
2.972258,-1.046872,-1.002872,0.20389,3.982199,0.083308,22.466009,2.61998,0.1433,-1.169079,-0.829864,-0.317726,5.635981
0.483185,-0.300344,-2.587818,-0.975022,0.104522,0.717719,1.891679,2.281309,-0.021689,0.788607,1.454611,-0.095744,-7.349233
0.340661,-1.245066,1.580761,1.064132,1.118088,-0.429944,35.062422,3.88786,0.121646,-1.645563,-0.743965,0.467189,19.655676
3.58256,-0.337692,-2.313393,0.488729,1.256363,0.718232,93.457835,3.627717,-0.434212,1.516977,0.475412,0.17463,32.588293
2.687344,1.514534,-2.745961,0.864848,0.501703,-1.439092,25.452614,1.365554,-0.032354,1.117795,0.810013,0.060083,2.792639
0.399539,0.414151,0.420128,-0.086838,1.518177,0.671374,96.951733,2.840233,0.261819,1.836087,-2.241528,0.193856,27.014747
1.581431,-0.124283,2.29043,-1.775875,0.205058,1.697504,47.002655,1.631301,0.077315,1.603718,-2.699792,0.282537,1.097103
1.048667,-0.113087,-2.476251,0.774219,0.071195,0.705813,61.244658,2.73632,-0.208518,1.345106,0.551793,0.203344,4.238455
0.440211,-1.932186,2.193635,1.771389,0.129164,-0.127715,56.602711,1.781638,-0.170463,-1.056018,-2.683885,0.162045,3.134818
0.521319,-0.051576,-0.487019,-1.31208,2.811983,-1.212606,10.425803,0.01938,0.277116,0.937507,-1.193134,0.276251,0.960197
0.638946,-2.011306,0.338464,-1.900206,2.041732,0.780628,89.707412,1.551639,0.153899,0.206229,1.193719,0.372285,-12.790952
0.345976,-0.594694,2.033662,1.436224,0.334012,-0.555079,7.017934,1.819548,-0.281874,1.379381,1.712625,0.448942,11.306267
1.172967,1.18684,-2.712361,-0.056886,0.353189,1.531943,81.664575,1.686895,-0.117727,1.377313,0.365427,-0.194333,10.40817
1.258325,-1.386588,-1.311749,1.657533,0.073727,-1.170996,40.073956,2.059109,-0.226269,1.906145,1.289502,0.123367,17.919515
1.029383,0.482805,-0.786813,-0.697527,3.767836,0.871849,31.832115,1.169577,0.047582,-0.551622,-0.083011,-0.008622,4.230153
3.798473,0.169473,-0.44575,1.430027,5.194087,0.758067,50.440262,2.386167,-0.38658,-0.941077,-1.068073,0.021974,19.588653
2.287491,-1.002222,1.275793,0.446852,0.125257,-0.972695,41.58186,0.661606,0.358609,-1.468341,1.012302,0.178296,9.362098
0.20317,-0.926661,-0.733846,-1.340534,0.723136,-0.948858,12.643457,0.271519,-0.124841,-1.167556,0.639119,0.255931,8.597211
0.155512,1.368599,1.233483,0.203736,1.003572,-0.961914,6.826218,3.291936,-0.333981,1.8221,-0.411542,-0.228266,18.355431
0.750378,-0.412734,-2.508539,-1.865622,0.768928,-0.016357,22.075273,0.043902,-0.497851,-0.216457,-0.339555,-0.242352,-4.548568
0.87743,0.016496,-1.905248,-1.077098,1.072633,1.285184,38.143212,0.471114,-0.198552,1.194028,0.206089,-0.417103,6.921814
1.246335,1.959828,2.906282,0.976973,3.878965,0.047907,35.932618,0.072046,-0.475661,0.373206,2.166138,-0.493358,2.579493
1.422001,-0.480484,-0.093687,0.897175,1.623262,-1.334598,50.540683,1.790808,-0.488448,0.278745,-0.652308,0.316224,-5.859231
2.195986,-1.205087,1.808345,0.140054,1.228768,-0.191527,97.653118,0.530859,0.153511,-1.648328,2.405814,0.15071,29.433385
2.031747,-1.273294,0.753042,-0.990704,1.70926,1.004294,62.179884,2.945542,-0.440875,0.353332,-2.720344,-0.34712,3.183847
8.977528,1.536739,-2.929084,-0.828093,0.250307,-0.712477,75.353393,3.594222,-0.025256,-1.174398,-2.562461,0.0072,11.446726
8.419369,2.325169,2.905754,1.109002,1.012274,0.182722,60.82906,2.994788,-0.233718,0.610488,-1.503905,-0.331777,26.243295
0.185551,1.323736,1.068064,0.965634,1.401017,1.38978,50.020769,1.889834,0.246126,-1.66188,2.691057,-0.03911,18.30603
1.960778,0.138227,0.920593,0.34884,0.58168,-0.912427,39.505334,3.023529,0.15533,-0.771172,-1.052278,0.07752,0.137074
0.201707,-0.092814,-2.719146,-1.896567,0.774962,-1.400145,57.945366,0.130207,-0.009659,1.716462,-1.428392,0.313616,-4.913625
1.629394,0.881079,1.293615,1.420982,0.601542,-0.805969,48.637695,3.086203,0.094962,0.002125,1.461083,0.009686,18.10472
0.408969,0.132822,0.754772,-1.71687,1.862556,0.178979,79.448287,2.33712,-0.392062,0.928928,1.968751,-0.451253,10.087517
0.475693,1.288557,-0.949177,1.754609,0.310087,0.014207,50.396224,1.477729,0.167099,-1.649944,-2.197574,-0.172616,24.609595
3.46957,0.435861,0.970952,0.273955,0.437388,1.806322,1.681014,2.366106,0.148194,0.51635,-2.786889,-0.021783,8.689818
10.43677,-0.45453,-0.67182,-0.548358,5.635139,0.473639,97.011277,2.920357,-0.130786,-1.107299,2.257679,-0.126357,14.103455
0.425859,0.962446,0.994267,-0.233491,9.427792,0.593012,81.496433,1.587735,0.305674,0.899949,-1.783584,0.022795,16.007351
0.339113,-1.065878,-1.349475,0.530148,0.494301,-0.71925,93.484709,0.911348,-0.023183,1.965718,2.899149,0.261569,13.961586
0.756758,-0.453111,1.404338,-0.48847,0.595129,-0.776098,50.924296,0.437532,0.48739,0.8873,2.932382,-0.265525,19.260351
