x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
50.566188,1.090991,-0.7768,0.080574,0.658805,0.936305,0.348204,-0.108802,0.315842,-2.307478,-1.102062,1.540189,-6.871735
26.595838,1.729492,1.538336,-0.403115,1.12127,0.957148,0.133794,-0.571903,-0.389526,-0.681767,-0.336052,1.700046,8.270109
44.462376,0.308098,-1.566509,-0.017972,1.015858,-0.251952,0.009875,-0.885133,-0.702104,-2.443094,0.008056,3.956795,4.765321
21.959332,3.228752,0.455506,0.211878,1.12983,2.634973,-0.470264,0.007923,1.580372,0.247736,1.792936,0.991508,29.216106
50.319596,2.369832,-0.416057,0.364288,0.309668,-1.071044,-0.421075,-0.382614,1.360409,-2.22525,-0.592473,0.211618,20.906619
38.217211,0.089314,0.940306,-0.3268,0.188918,-2.205397,0.15231,-0.27834,-0.533316,-1.414804,0.78653,3.477908,-5.675971
71.452068,1.473874,-1.572364,-0.319854,13.066801,0.737413,0.089993,0.112509,0.558752,-1.231403,0.088567,0.48473,24.516028
20.01378,0.325228,-0.471165,-0.128171,0.30177,-1.544184,-0.395555,0.540981,1.423005,0.836758,1.083989,3.949504,-1.334408
8.739904,0.763257,-1.456631,-0.413756,0.577142,2.421345,0.322975,0.107364,-0.002405,2.15982,-0.036727,1.141862,23.725112
16.167325,0.188615,-0.886252,-0.02857,0.295407,0.594526,0.042642,-1.939311,-0.719059,1.775706,-0.753283,0.228844,12.441323
74.767227,2.780444,-0.669031,0.06627,0.357245,1.32062,0.439971,-1.045501,-0.742995,0.00945,-1.412899,3.484882,10.191199
67.798803,0.755125,-0.128612,0.066999,1.372266,-2.219091,-0.418233,-0.112122,-0.462522,-1.333828,-1.67876,0.914402,-1.020608
98.845021,1.576263,-1.513487,0.003428,3.504245,-1.324558,0.352689,-1.183043,-1.208778,0.378946,-1.218403,0.208299,31.595295
55.393079,1.154278,-0.64471,-0.357175,1.08018,-1.494506,-0.274199,-0.376701,0.81097,1.868682,-1.049694,1.579442,-4.013405
6.807688,0.973549,1.876107,-0.390855,5.546556,2.49008,-0.444442,0.881845,0.176254,2.543123,-0.910843,1.708574,4.545858
47.547987,3.329747,-0.340628,0.286598,4.930885,-2.025105,0.089614,-1.21804,0.956423,2.151247,-0.383336,0.529546,12.358426
63.473381,1.564719,0.767952,-0.134345,0.568788,-2.189154,0.229199,0.770746,-0.133107,1.769612,-1.781003,2.288877,18.993494
57.064117,2.141234,-1.033067,0.340497,0.656036,-0.65795,-0.23548,0.660516,-1.727055,-1.66929,0.143779,1.305046,13.462671
10.855247,2.341308,-1.694416,0.377304,0.639209,2.306511,-0.363643,1.082958,2.43088,2.468106,-0.492448,0.066659,17.625717
80.009661,0.437479,-0.016844,0.264787,1.08108,-1.68109,-0.050484,-0.225156,0.527255,0.431013,1.276876,2.534454,12.576665
44.470728,2.114966,0.455954,-0.456232,2.051136,0.398297,0.49846,0.155003,-0.242267,2.051535,-0.28311,2.770537,19.525679
46.905426,1.366699,0.356235,0.267289,7.306847,-2.70746,-0.318582,-0.442591,-0.810884,-2.260821,-0.484926,3.145544,4.596888
68.225666,3.070766,0.545535,0.440298,2.414465,-2.528342,-0.241311,0.263593,1.466037,0.428313,-0.338848,3.937755,11.714718
72.760844,0.592985,-1.921002,0.323403,7.190379,-1.017988,0.262488,-1.82174,0.110632,0.184008,-1.084317,3.022711,13.399269
90.667145,3.131262,-1.586268,-0.2874,3.299193,-0.422481,0.422009,0.653914,-1.603648,0.60381,0.071119,2.735345,17.049042
63.417776,2.149928,-0.945909,0.28743,1.987523,0.677721,-0.013275,-0.547442,-1.619019,-0.012581,-0.725812,1.699121,12.353121
26.387677,0.14078,1.076555,0.41213,3.359814,0.184396,0.309125,0.517633,-0.906981,1.823402,1.889549,3.602895,24.042633
14.821701,10.511516,1.101455,0.225261,1.182182,-0.674194,0.253408,-0.431497,1.511343,-0.647453,-0.834417,3.800467,11.808277
66.504264,0.273469,-1.529054,-0.461963,0.931245,2.725383,-0.199666,-1.301261,-1.031372,-1.105577,0.456113,3.237734,18.792638
56.82439,0.701367,-0.716639,-0.363218,0.778285,0.478877,0.257937,-0.611115,0.902721,-0.535978,-1.978442,0.742003,-32.204577
21.292695,4.18485,1.123447,-0.110598,1.863191,1.788212,0.1817,0.912122,0.490563,-2.525101,-1.96258,0.634434,-22.53626
75.852188,0.840748,1.61818,-0.420601,0.337967,1.622507,0.109668,0.218805,-1.17789,-2.610265,-0.491301,1.669774,11.076976
9.980333,3.912838,-0.32738,-0.167668,0.794488,-0.595321,-0.076623,0.345024,0.799958,2.386145,0.397574,2.022446,16.259965
19.805852,0.250451,1.530947,-0.123883,0.491441,0.040577,0.295027,-1.750797,-1.411855,0.620854,1.629782,2.780216,9.877667
76.252552,4.214965,-1.27869,-0.042973,0.34287,-2.585396,-0.028856,1.856868,2.301355,-0.34313,1.550359,2.532861,33.840964
84.249914,0.610961,1.155162,0.084894,1.165551,-1.6261,-0.46285,-0.087063,-0.737583,0.134826,1.328158,1.660606,12.633365
22.542254,0.926771,-1.130324,0.485018,0.688099,0.348146,-0.23485,1.269159,-0.8266,1.175775,-1.170675,1.857383,-3.517177
52.551972,0.372798,-1.796198,0.341649,1.391947,0.876007,-0.373594,-0.779393,0.079138,0.876496,-1.485266,1.015774,-1.973034
97.015381,6.208658,-0.812013,-0.41949,0.223901,-1.46864,-0.130096,1.413389,0.575568,0.626881,0.899138,0.010891,18.669279
