x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-0.028254,2.740104,2.57064,60.411648,-0.20383,2.982815,0.844843,-1.994114,0.073453,0.245009,-1.46436,2.71118,1.574361
3.051568,-2.589713,3.015277,11.690113,-1.240542,1.050091,0.826506,0.427554,0.189589,-0.149437,1.661078,-1.062997,3.560837
-1.367535,2.888837,1.74765,37.676424,-1.103539,4.927618,1.00414,1.747411,0.182344,0.239856,-0.267337,2.240812,27.123097
-0.06302,0.165361,0.546066,17.662717,1.922037,2.03595,0.838224,0.19439,0.231465,-0.049294,0.369641,-1.709545,18.975835
0.524187,-1.130001,3.301581,80.915847,-0.804884,0.586951,0.620218,1.504216,0.128514,-0.341062,-0.286277,2.042294,28.87528
1.847642,1.339085,2.246078,47.826488,1.541516,1.168223,0.460516,-1.24203,0.499969,0.264138,-0.062583,2.480909,20.82012
-1.320869,-0.579219,1.121544,90.096317,1.326943,1.230144,1.166563,0.954465,-0.481064,-0.199242,0.127618,-0.966769,31.415022
-1.362649,1.764667,0.6833,35.856191,1.111934,0.553788,4.244419,0.635527,0.25743,-0.158441,-1.113132,-1.093332,12.107996
0.715185,-2.675744,0.586678,97.106585,-1.300978,1.283694,0.891305,-0.920247,-0.159452,0.466828,-0.608856,1.030481,13.256678
-1.722478,0.676153,1.748032,37.173969,1.057092,2.782355,0.694634,-0.394825,-0.265004,0.452221,0.832583,0.900028,12.734698
-1.128522,-0.477473,3.73104,57.838749,0.311288,0.223893,0.443987,-0.630873,0.179205,-0.153254,0.244983,2.787574,-8.111423
-0.696253,2.996358,0.265122,15.519897,-1.601167,44.583284,0.336713,-0.783872,0.327056,0.48605,0.61452,2.779742,48.64176
0.430028,2.207714,0.243375,48.419577,-1.619909,0.826443,4.879889,-0.304185,0.482969,0.294965,1.295432,-2.181597,28.79888
0.671709,-0.021917,1.613145,87.377593,1.609722,4.088513,0.684474,0.470099,0.145957,-0.082547,0.229814,-1.023726,19.575791
0.225931,-2.063549,2.392126,22.444453,-1.823812,1.667905,0.741632,-1.206566,-0.138829,0.078799,-0.254879,-2.720308,17.868054
-0.93827,2.323352,1.920826,62.482319,0.965835,3.421642,0.246974,1.649941,-0.321964,-0.423885,0.11503,0.969375,22.361347
1.125028,-2.221511,2.031646,88.948803,-1.004117,0.89362,1.258019,1.875128,0.322649,-0.03331,1.56893,-2.114895,21.917466
0.751767,-0.316902,2.435223,7.280809,-0.833978,0.455059,1.364049,0.806402,0.32559,-0.150691,-0.130326,-2.972392,10.428504
0.488645,2.793621,0.302914,71.361177,-0.781949,0.299426,5.088514,1.385103,-0.018261,0.192676,0.500672,0.961773,28.520661
0.817468,2.933879,0.422523,79.860529,-0.046094,2.505123,4.298697,-0.307466,0.379941,0.385293,0.246296,-1.703604,29.091932
-0.063387,-1.27034,1.56599,61.085464,0.787503,1.167196,1.096321,1.201562,-0.084929,0.18823,0.662527,1.718758,17.402547
-0.630509,2.381639,1.165065,89.508647,1.495024,1.709501,0.525431,-0.183712,0.170233,-0.016257,0.255241,-0.880642,32.544281
0.854884,-1.439664,3.958946,3.618536,0.566665,1.320807,0.635666,-1.021506,0.300802,0.318644,-0.123032,1.561019,-13.409764
-1.992092,-0.058003,1.294016,53.669702,0.682905,7.329936,0.157332,-0.118802,-0.338119,-0.483822,-0.375925,2.073497,13.896549
-0.932011,2.576681,3.028456,27.761347,0.355794,0.261518,1.159785,1.114493,-0.2924,-0.451871,-1.040878,-0.790271,7.687043
-0.222115,-1.100181,2.093512,53.577854,1.487027,0.840371,2.454262,1.842472,-0.485827,-0.354325,-1.341337,0.79913,24.646275
-1.01143,2.502293,1.247428,24.862742,-1.753683,1.732495,4.83865,0.474151,-0.180651,-0.106606,0.911533,2.754392,24.981855
-1.204342,-0.088752,1.391765,23.313273,1.755556,1.547554,0.879656,1.987792,-0.363605,0.387704,1.150675,-1.480632,43.256742
-0.652833,-1.173707,0.250317,42.983973,0.138871,0.331292,1.58962,1.387686,0.082954,-0.009525,-1.846274,-2.78876,16.772888
-1.914031,-1.743829,2.486286,21.487648,-0.535773,0.905621,1.35328,1.354361,0.039998,-0.424067,-0.367597,0.108782,8.74245
-0.076432,2.21502,3.031071,23.732996,0.665882,0.372442,1.037814,1.169488,-0.026886,-0.069823,-0.441935,-2.550397,10.506111
-0.54437,2.70615,3.49257,68.510454,0.75541,0.583471,0.708201,1.882418,-0.488964,-0.041863,-1.151345,1.493888,10.958991
-1.282979,-0.494813,1.142114,5.009288,-1.829755,1.346278,1.645212,-1.680293,0.080343,0.011308,-0.117633,-0.554433,-0.110822
0.649709,2.077934,1.357374,85.301184,1.304011,0.543949,2.033569,1.58827,0.144618,-0.152727,-0.904704,0.283496,48.788009
0.541038,2.882609,2.052671,49.811045,-1.913482,1.185368,2.908639,0.40485,-0.023375,-0.216953,0.794623,0.791275,24.956406
0.002455,0.890198,1.859546,49.989441,1.740005,2.419239,0.534612,-1.494138,0.475466,-0.076797,-0.599331,2.267478,7.895204
0.640985,-0.195397,0.108186,32.641985,0.931543,2.642942,0.612373,0.401285,-0.221092,-0.199496,0.827343,-2.693748,14.534271
-3.156657,0.87114,0.75908,99.198686,-1.644506,4.198246,4.890612,1.040402,0.01353,-0.259555,1.906115,1.019811,27.021056
