x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
1.828652,1.815828,0.511484,2.904354,3.840481,0.271345,-0.467804,0.762493,0.168734,0.590429,-0.190516,0.494884,5.54531
1.835736,-1.458387,63.52795,-1.062672,0.368195,-1.913541,-0.850579,0.123152,0.035488,2.24787,-0.318784,3.021909,2.345578
-0.120618,-0.623408,17.835325,-0.720681,0.849674,1.003295,-1.21478,-0.968134,-0.495996,1.351964,-0.28905,1.249642,23.277864
-2.512958,-0.692073,74.305331,-1.079616,0.616673,0.495989,-1.221985,-1.030419,-0.001317,0.341942,-0.348541,1.011331,20.831056
-0.752226,-0.571109,17.843589,-1.473703,1.638538,0.594126,-0.933384,-1.332347,0.311537,0.11013,0.110556,3.507492,-0.923217
-1.433533,-0.898368,1.276669,-2.359218,1.048045,-1.91233,-0.971173,0.617907,0.095498,0.349139,0.293064,0.940691,-23.441639
-2.132231,0.477399,51.820375,2.674059,0.860283,-0.313298,-0.876901,-0.720447,0.16111,6.70615,-0.251346,3.284921,10.900868
-2.48628,0.213679,55.788281,2.025833,0.693712,-1.066584,-1.886421,0.747521,0.238222,0.974721,0.46802,3.667487,26.00246
1.082157,-0.608416,51.710658,0.18573,1.158132,-1.445412,1.750617,1.272814,0.252648,1.821256,0.002086,2.671768,1.667033
-2.623998,0.606179,7.189742,2.221129,0.269738,0.010599,1.820003,-0.12578,-0.223138,3.243778,-0.381338,3.73658,2.453824
2.935887,-0.736531,58.25497,-2.55526,0.350276,1.635073,1.198712,-0.152398,0.353385,1.812039,0.185693,0.712749,-2.448331
-2.203646,0.410795,36.784619,0.703746,0.430615,-0.851618,-1.04891,-0.141161,0.007254,1.281831,-0.35182,3.644455,-3.57085
-1.955896,-0.202842,41.459359,2.255089,0.265054,-1.200053,1.565213,0.029393,0.177609,0.863249,-0.047551,3.286465,18.872724
-0.882931,-0.809208,85.942683,-2.949211,4.812544,0.820813,-1.731915,-2.516543,0.125714,1.02297,-0.103212,3.258365,32.969482
-1.490298,0.326525,82.536332,1.037059,3.162285,0.807201,-0.100173,-0.117332,-0.406874,0.212134,-0.452355,3.000861,14.590713
0.900789,-0.395554,56.113928,2.504203,0.347875,1.676956,-1.779891,-0.408366,-0.075512,0.438097,0.120665,0.164283,46.783106
-1.135842,-0.843365,30.255165,-0.625143,0.196194,-1.853612,0.118827,0.015958,-0.081121,0.981346,0.424113,2.941373,-20.563509
1.962852,-1.130347,16.162008,-1.147292,1.863505,1.097901,1.089964,0.588959,-0.009515,1.65618,0.497344,1.173968,6.764842
0.395055,0.970808,24.988002,1.257828,0.291493,0.851456,-1.940893,-0.750144,0.406854,0.758001,0.092454,1.906687,21.423818
2.198731,0.030584,50.847024,-0.837521,0.605666,0.583566,-1.150653,-0.711324,-0.335479,2.847772,0.421204,1.228293,15.577642
-0.062336,0.33916,50.080054,2.404405,1.369778,-1.744441,1.081053,-0.992474,0.318454,0.385864,-0.155598,2.031928,-7.60414
2.543467,-0.487816,31.909579,2.004738,1.619101,-1.589449,1.118609,0.78403,-0.095438,5.203789,-0.354115,0.44459,10.23385
2.429431,0.21224,49.161545,-1.921166,1.689725,1.974855,-1.203563,-1.077832,0.473215,1.628474,0.390539,3.273961,23.32375
1.750608,-0.44511,42.672003,-1.436938,0.855337,0.12507,1.144969,-0.364966,-0.339592,1.166701,-0.16773,3.084201,10.469436
-2.272725,-1.793894,36.271184,1.138778,7.400397,-0.322456,1.288688,0.394911,0.305197,2.944805,0.314941,2.15783,29.585992
0.357205,-0.090825,31.65844,-0.582031,0.420317,0.841421,-1.289385,-0.677691,-0.440114,3.298483,-0.417804,3.955118,14.374521
0.177438,-2.101447,79.307651,1.965202,0.387193,-0.713832,0.485743,-0.957867,0.001996,3.75871,0.474965,2.129297,30.781446
-2.915498,0.779926,99.918141,0.678707,2.134916,0.711481,0.877741,-0.38425,0.124659,2.413567,-0.254849,0.132169,27.406038
0.694306,-1.08771,90.495741,-1.709766,1.498545,1.73495,0.396912,0.314807,0.330567,0.760427,0.243292,3.228935,28.310272
-2.441396,0.481607,5.70477,-2.726856,1.480721,0.687726,-1.376296,-1.365901,-0.340469,1.033073,-0.352305,1.701498,7.251008
0.276158,0.21957,57.206786,-2.798384,4.779824,-1.418901,-0.611481,-0.03967,0.18867,0.563908,-0.078625,2.169315,6.904358
0.539784,-1.268424,28.360112,1.457822,3.677461,-0.442081,-1.64728,-2.066036,0.227703,0.045695,0.272123,3.468675,20.276694
0.623969,-1.024384,4.496637,-1.485312,0.400314,0.213004,1.893761,-1.156443,0.28066,0.682329,0.194136,1.086315,11.062527
-1.734885,-0.832284,57.99585,0.915839,3.466345,-0.940782,-0.356174,0.652682,-0.43887,1.071295,0.366493,2.526809,8.952457
-2.246605,-0.558675,41.28349,-1.560625,0.331116,1.341145,-0.728453,-0.117537,-0.164733,0.476098,-0.395189,0.133392,16.393823
-0.214601,0.577533,8.191269,0.950485,1.070782,0.410098,1.251441,2.162222,-0.102009,1.039231,-0.234005,2.843736,6.781442
-2.517312,0.077371,42.328533,-1.139257,0.757462,0.290013,1.725725,0.481886,0.426433,0.725706,0.01334,1.446056,5.489705
-0.4723,-1.61673,68.732882,-0.684539,2.128708,1.199804,-0.853353,-0.796363,0.386626,0.909667,-0.022762,3.394314,24.508823
-1.940492,0.155639,76.222537,0.384659,0.577198,0.089902,0.669089,-0.860982,-0.214733,1.096579,0.143232,3.773209,10.690174
2.298757,-1.720755,52.675219,0.71149,1.631179,1.648217,-1.296722,-0.219246,0.483723,1.012325,0.350764,0.316494,30.426902
