x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-0.87852,0.150247,0.081883,1.289357,-1.919091,-0.266083,86.61176,1.010963,-0.932375,1.219061,1.979111,0.872738,12.474522
-1.417527,0.200633,0.094341,-0.485456,2.158753,-1.900244,97.126266,1.305236,-0.625037,0.604654,2.993345,-1.742434,30.953297
0.538466,0.022466,-0.399693,1.116692,-2.587538,0.779096,74.589735,0.239135,-0.741473,0.7912,1.739112,-0.231603,-0.800974
1.616001,0.448416,0.186366,-1.722301,-0.695572,0.711577,94.028861,0.552421,-0.365363,1.656977,3.463238,1.77013,12.397807
-1.29609,-0.45496,0.129396,-1.452767,2.466208,0.868687,29.654577,1.309137,0.632444,0.498313,0.848776,2.8203,-4.825396
0.64005,0.270331,-0.310008,1.244147,-2.632656,0.234198,0.081279,5.961197,0.256279,1.241327,2.690007,-1.404478,-17.090606
-0.015619,-0.073396,0.25207,-1.924124,1.940675,0.613815,0.226368,0.647115,1.371794,2.222824,3.601763,2.33481,-13.601696
-0.082256,0.25485,-0.239153,1.947908,2.201297,-0.597548,88.796011,0.639327,1.852704,0.741104,1.923617,-0.222429,32.378607
1.51381,0.174438,0.213044,-1.160269,1.339469,0.596106,9.409918,0.455688,-1.520657,1.066342,0.317562,-1.638675,20.925515
-0.49561,0.117555,0.085323,0.998441,2.206521,2.114686,11.367502,1.504761,-0.978743,0.78548,3.266519,-0.215165,16.943104
-0.30586,0.005064,-0.071788,-0.907897,2.740372,-1.402972,33.806862,0.241165,-0.880434,0.896327,1.883127,0.983324,-1.601132
1.436204,0.373401,-0.190688,-0.015901,-0.887954,-1.349948,32.034813,0.727263,-0.585189,0.867411,0.397948,-0.597943,5.414057
0.143767,-0.033865,-0.242417,0.843256,-2.735912,-1.512488,87.392909,1.090721,1.360886,0.355374,2.355745,2.385687,4.332997
-0.397953,0.35537,0.285875,1.969181,-1.190912,-1.05911,26.430833,0.489758,0.890717,0.321379,1.617826,-0.329686,2.265771
1.773079,0.134248,0.018812,-1.279011,1.179146,0.898783,56.715224,0.246243,0.730007,0.693794,2.493907,-1.604089,15.41771
-0.034934,0.464903,0.085912,1.397414,-1.943818,-0.153326,7.978765,1.156392,-0.522498,0.597489,2.297532,1.634973,-3.556192
-0.333354,0.191156,0.124856,-0.594499,-2.751249,-1.265474,80.724226,3.085675,0.635331,0.345097,0.260499,0.546457,6.14951
1.859246,0.379853,-0.308034,-0.488976,0.728621,-0.878959,19.690692,13.149291,0.772066,1.537032,3.66673,-2.49462,18.227597
1.845893,0.393084,-0.035264,-0.864717,-1.047525,0.237427,81.242853,3.350092,-1.240116,0.898206,2.395085,-0.949821,23.68522
-0.286899,-0.439166,-0.259334,1.972473,-2.978173,-0.236326,15.613628,0.714079,0.652889,1.0549,3.663032,1.150341,16.523038
-1.85677,0.425247,0.08219,-1.440059,2.690091,-1.245409,73.971542,1.754203,0.69922,0.563761,2.523915,-0.767619,26.749307
-1.463857,0.160372,-0.476358,0.108726,2.03073,0.73238,55.322837,0.155461,1.46437,0.277723,2.657888,-1.517237,18.161426
-0.370138,0.220413,0.023843,-0.03596,-2.1338,-0.688812,61.194486,1.114925,-1.492467,0.822986,0.67657,-1.712209,9.371592
-0.365301,-0.490689,-0.093874,-1.87327,2.45487,-0.084111,49.140347,2.141746,-0.021436,1.906776,3.066315,-0.811552,-13.243175
1.822666,-0.485504,-0.050272,-0.166395,-0.872345,0.36224,26.633599,0.906312,-0.999749,7.227275,0.234796,1.558104,21.796185
-0.619929,-0.025742,-0.298673,-0.889514,1.792959,1.100578,37.060562,1.313569,0.412445,0.467132,3.103708,0.107631,11.327239
1.750933,-0.258881,-0.037355,-1.581071,2.220756,-0.406698,76.090993,2.819092,-0.438706,0.62005,1.827901,2.151722,1.029031
1.399446,-0.354797,0.196093,1.647134,-0.880949,-0.039051,71.559567,0.100532,0.360642,0.528281,1.431422,-2.586372,22.940696
-1.895515,-0.075369,-0.475599,-0.743123,0.336992,0.271586,10.369343,0.206961,0.371428,4.82681,3.687697,2.915998,9.935491
1.62857,0.180892,-0.287498,1.290898,-1.701369,-1.260316,20.144812,2.59326,-0.593171,0.595231,2.019001,1.041847,8.181124
1.451268,-0.147728,-0.293279,0.047975,-2.518013,0.099692,72.487043,0.473749,-1.027977,0.354523,3.041324,1.094204,18.484248
-0.115216,0.298365,0.015177,-0.52779,-1.433735,1.474097,93.771884,2.765166,-0.427334,0.288788,0.52831,0.279544,-3.879615
-0.085251,0.343303,0.020394,-0.165705,1.430206,-1.627021,44.641416,1.3592,0.978746,0.213662,2.37252,1.800285,10.049791
-0.624494,0.091421,-0.306499,-1.952127,1.054303,0.531255,91.669513,0.347889,0.816304,1.56991,3.433202,0.436571,-3.086078
-0.200988,-0.275348,-0.181574,1.742614,2.327457,0.965278,69.682594,2.299715,-0.224935,0.679364,3.383278,0.732333,36.899873
-1.700672,-0.444298,0.193098,1.984747,-0.903466,0.240625,39.91377,0.591595,-0.484569,2.03372,3.591824,1.794881,30.747536
-0.56468,0.032992,-0.444402,-1.700488,-0.324888,1.203304,97.222929,2.582391,-1.426994,1.226018,2.572911,-1.614258,-3.45415
-1.246631,0.311301,-0.031534,-0.816654,1.859,2.159074,51.962,1.280596,1.912869,0.926507,0.985403,-2.80842,16.517934
0.795326,-0.302043,-0.310618,-1.369798,1.858886,0.134854,62.808136,3.692073,-0.795185,0.126276,2.159756,1.827033,3.557647
0.255369,-0.317,-0.131446,-1.327597,0.545498,0.524206,39.661871,0.243487,-1.259179,0.328025,2.352469,-1.805924,-1.179843
-0.889316,0.19849,-0.45904,-0.319145,1.077724,0.103975,79.237102,0.466199,0.268454,0.207416,0.720645,-1.817987,7.522177
1.295523,-0.247395,-0.09848,-0.1505,0.324141,-0.252143,58.430526,0.165631,1.053491,1.192596,2.97301,-0.511626,3.251332
-0.220881,0.199345,0.498773,-0.044584,-1.502813,-1.775522,85.122483,0.905674,1.266762,1.424713,3.977677,-1.188573,7.060287
1.721837,0.150376,0.113613,-1.017201,0.135341,-1.129015,24.624308,0.244189,0.751908,0.721187,0.885966,0.5761,6.464909
0.76622,0.304048,-0.261792,-1.807921,0.517491,-0.060358,97.524511,0.184024,0.54627,1.209956,2.603854,-2.129157,0.868866
0.082099,0.00528,0.059136,-1.79485,2.90767,0.935462,19.479712,0.740659,1.599176,0.370686,2.873205,2.04626,-9.401341
1.242734,0.271853,-0.42645,1.698401,2.47333,-0.063016,62.575529,0.788348,-0.611509,1.09386,2.041947,-2.382633,43.497212
1.677004,0.411649,-0.137707,1.470011,-2.406022,0.302511,71.012442,0.612762,-0.485083,0.591219,0.549217,-0.948072,7.30971
-1.789638,0.438583,-0.269374,1.564934,-0.507813,-0.057802,98.262263,0.567482,0.989325,1.036111,0.495131,1.15062,33.930245
0.834821,-0.139546,0.012332,-0.79591,1.885243,-2.250279,72.240254,1.264384,-0.433955,2.232584,1.067304,0.463514,26.198296
-1.276554,0.017517,-0.29633,-1.252861,-2.089496,0.616301,17.187486,0.405048,0.429762,1.395956,0.218436,2.271037,5.994917
0.549103,-0.182894,-0.064722,1.186292,0.128417,1.058749,4.096518,0.323272,-0.765081,1.204807,3.911568,2.24378,12.120805
-0.489885,0.262064,0.004348,1.124998,2.149525,1.230643,27.120158,2.438983,0.277825,0.621247,1.840564,-0.356217,10.258763
1.439934,0.437341,0.257012,-1.005398,0.169265,-0.199796,63.918232,3.589213,-0.434784,1.561874,3.91863,0.825902,26.464215
