x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
0.630826,0.236306,-1.800116,0.222597,0.8417,0.492952,2.643905,41.492289,1.21272,-2.136578,0.004773,-2.339191,-9.45341
0.748339,1.443458,-1.221849,11.464289,1.653205,-0.391573,-1.903807,61.690964,2.003661,0.343761,-0.307115,0.791852,10.869818
7.633728,-0.221542,1.335438,1.227997,-1.710326,0.388018,2.63225,53.118571,0.171794,0.894872,0.133764,1.206713,29.227143
2.294789,0.339232,1.020708,0.856483,0.765372,0.421822,1.265525,96.914344,3.347009,-0.872924,-0.307241,-0.450018,34.308347
0.911666,1.971838,-0.103434,2.144442,2.048848,0.247895,0.055908,85.262078,2.248371,-0.285813,0.168477,0.818956,41.143505
0.752476,-1.675157,1.630653,1.384682,-2.579792,0.418723,0.783316,59.796844,1.333714,0.508591,-0.289735,-0.869197,36.52925
0.486973,1.651024,-1.432318,0.937236,-0.027008,0.408864,-0.389065,75.042408,1.496576,0.133704,0.316745,2.22554,21.921557
0.775912,0.90803,0.228355,0.7809,0.649145,0.046263,0.982594,19.021812,3.613135,0.054332,-0.059253,-1.96858,-5.729531
3.506169,-0.39053,1.406236,2.72682,-0.105227,-0.219376,-0.086072,67.079407,1.874744,0.862765,0.223006,2.656115,21.4444
0.519945,-1.787519,-0.016588,1.238787,-0.690579,0.293831,0.210855,68.770542,0.378564,0.360118,-0.420139,2.198266,20.778114
2.665388,1.13746,0.794841,2.210332,-2.540948,0.181243,0.711968,60.607166,0.770687,0.483341,0.189216,1.004377,15.401397
0.58142,0.826967,0.434822,0.351649,2.784541,-0.494438,0.242972,4.128626,3.980633,0.312002,0.044598,1.353004,5.769493
0.884468,-0.877002,1.200876,0.20719,2.937348,0.225028,1.105819,78.230712,1.185812,0.654343,-0.248586,-0.78274,25.036653
0.62123,0.010822,-1.722762,1.143017,-1.196963,-0.455822,1.122597,91.731988,3.077317,-0.216519,0.084308,-0.266412,-4.288776
2.011416,-1.544189,-1.003614,2.667134,0.538379,0.087939,-0.173428,30.881489,0.365674,0.217438,0.254766,0.207448,11.895178
2.625596,1.806834,1.319164,2.058136,-2.43171,0.274607,-0.754162,17.634062,3.217513,0.638111,0.086385,-0.242956,33.010107
2.768309,-0.163619,-0.475983,0.70499,1.320899,-0.075991,-1.776363,91.943521,0.763767,-0.094994,0.324931,0.212167,21.235801
3.283615,-1.647148,-0.407933,0.644822,-0.117235,0.164856,-0.508519,70.614411,3.208245,0.149926,0.477008,-2.022689,26.062956
2.269419,0.550954,1.741841,1.620422,-1.288276,0.456547,-1.289642,4.147908,3.274101,1.037021,-0.228958,0.749193,30.339002
0.490927,0.877509,-0.772191,0.58423,-1.812897,-0.392294,-0.177393,86.279462,2.919351,-1.071585,-0.490621,1.184609,4.861872
1.277554,-1.106769,0.211375,0.463118,1.269753,-0.070527,0.376623,67.881629,0.774874,0.072061,-0.218994,2.733715,6.193176
0.176156,0.242588,-0.11104,4.446585,2.843109,0.100977,1.109819,22.041064,1.783961,0.731794,0.195273,-0.924097,-10.773858
0.403287,1.371546,-0.878446,0.300114,-2.350893,0.28985,1.385613,49.437847,3.329531,-0.771446,-0.464801,-0.759333,10.235523
1.437665,-0.874803,0.093904,1.481303,-1.349592,-0.255051,-0.33844,33.119879,2.42894,-0.492003,0.144404,-0.263413,7.674408
2.628026,-1.778867,0.273691,0.489961,1.198964,-0.40736,-0.785339,66.535801,2.368854,0.770379,-0.437677,-2.878993,39.161741
1.602832,-1.019055,1.832604,0.6789,2.899596,0.250847,-1.05371,36.66052,3.283412,1.590651,-0.072762,-0.199246,27.784163
0.272355,-0.351819,0.216106,4.285287,0.301403,-0.12134,1.184628,71.402131,1.312031,0.26363,-0.130024,1.600013,12.286092
