x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
1.571877,-1.89377,0.864882,0.378549,1.566672,-0.062892,0.324844,2.534811,-0.699707,38.654707,-0.336004,4.008844,-2.752235
-0.784686,0.02619,-1.602622,1.446553,1.990911,-0.062195,0.87184,2.85717,1.500542,94.533182,-0.464152,0.300938,28.798998
1.906975,0.623609,1.182409,1.068404,0.679673,-0.483615,0.394564,1.75865,-1.010608,86.309386,0.190651,0.820577,25.194429
1.201289,0.592924,1.788223,1.947809,0.739864,0.304919,0.831299,1.412978,0.978534,75.311698,0.199718,0.492152,33.137284
-0.272468,-1.081123,0.919725,-1.110061,1.892111,-0.320551,0.864179,2.378502,-2.651886,47.833283,-0.485605,0.425252,4.163302
-1.191582,-0.582127,-1.113029,0.744757,1.825385,0.222605,-1.057344,1.097939,-1.397589,79.131738,0.196169,0.277517,2.519419
2.520436,-0.473326,1.572519,-2.005035,0.537375,-0.304122,1.291239,0.302251,2.232773,14.220515,-0.272802,2.862312,11.104557
-2.532855,1.614589,-0.286481,0.673868,1.875085,0.401511,1.264881,0.687088,-0.201063,33.584107,-0.055974,6.756081,-0.659687
-2.057607,-0.332335,-0.22585,-1.019259,3.261241,-0.48992,-1.837888,1.468447,2.05965,31.830905,0.182539,1.82381,4.756927
2.095298,-0.438235,1.159615,1.987805,3.121966,0.200648,0.734763,1.117081,2.408145,39.311555,-0.002015,0.832135,10.527322
2.842361,-1.888594,0.264162,-1.09886,0.415079,0.294833,-0.009618,1.121076,-2.358907,65.49203,0.054612,3.3803,4.267489
-2.346953,-0.394928,0.030406,-1.463314,3.689607,0.411974,0.144665,0.359345,0.285105,22.396944,-0.166589,2.07325,-6.790749
1.257857,0.586514,-0.814766,-1.079426,0.77134,-0.248688,-0.889543,0.587899,-2.363682,51.777555,-0.222083,0.538748,-11.261039
1.512058,-0.788605,-0.676048,-0.528345,0.902308,-0.322982,1.20635,1.377175,-0.100659,85.390672,0.07808,0.223922,20.353838
2.304421,-1.465292,-0.532345,-1.301831,1.970802,-0.230581,-1.24495,0.514043,-1.989752,66.698178,-0.077385,1.561704,6.929859
-1.396981,-0.782185,-0.627979,1.44896,0.18225,-0.184175,-0.190703,1.779138,0.61307,45.235565,0.196162,0.426969,6.633078
1.062613,-1.659946,1.395798,0.863366,3.265865,-0.435193,-0.36555,0.730169,1.054081,52.83085,0.482466,0.753604,15.481802
-1.054343,1.484929,-1.586237,-0.296202,3.748967,0.026667,0.187202,1.168926,1.102217,72.644467,0.062225,0.053907,20.268496
-0.099656,0.854579,0.904808,0.33602,2.844313,0.395847,-0.241,0.811235,-0.794496,22.469277,0.213769,0.971192,6.082192
-0.057394,0.293255,-0.908052,-0.302953,3.223483,0.212181,0.720788,0.835724,1.044174,2.792768,-0.442751,1.132774,10.127958
-0.839308,-0.345441,1.798648,-1.275188,0.856825,0.096891,0.837896,2.047701,-0.245924,6.426778,-0.099504,2.121227,19.495763
-0.556008,-0.842714,1.785693,0.65646,3.304591,-0.005561,1.813529,1.709559,0.994495,63.694229,0.252797,1.443795,25.218189
1.804336,-0.572762,-0.886454,1.128854,0.11192,0.373177,2.063062,1.690299,1.373265,3.706475,0.023949,2.5995,17.015364
-0.213146,0.386329,1.718865,0.159418,0.311124,0.326339,0.85915,1.930875,0.264213,97.441583,-0.172209,2.77297,25.450935
1.476459,0.516003,1.292584,0.182856,0.311189,-0.046772,0.834779,0.723449,0.19718,27.196814,-0.162828,3.806808,20.81983
-1.390076,0.066844,-0.550806,-1.273624,0.815089,0.373587,0.779157,2.093921,-0.19103,17.342208,0.284536,1.500254,-11.394391
-1.804311,0.468983,0.470032,0.614351,2.492995,0.004839,0.593451,2.259171,-0.860482,70.4178,0.407545,1.004177,4.112436
0.894337,1.955069,-0.51963,-1.53485,2.335562,-0.35965,-0.528606,1.78669,-0.558837,33.386323,-0.427285,1.501429,24.300136
-0.935318,0.396674,-0.748283,-0.296256,0.003657,0.2184,-0.618453,1.107445,1.061441,85.526452,0.193913,0.289615,13.451527
-1.719833,0.05744,0.52246,0.169448,0.387836,0.251377,-0.142511,0.162241,2.405869,99.676326,0.093237,0.093878,6.744139
-1.365562,0.374902,0.118267,-0.462832,2.818499,-0.394557,0.336218,0.4905,2.150023,89.653075,-0.328123,1.304279,-0.657043
-1.187351,-1.738201,-1.945877,-2.554402,2.338852,-0.120915,0.713496,2.718896,-0.589556,27.445851,0.491626,1.012947,6.69444
1.501499,-1.52044,1.135933,0.033321,0.333095,-0.315742,1.323997,0.458119,2.909717,23.648484,-0.31206,0.452861,4.604285
0.63752,-0.988566,0.688372,1.761666,2.806144,0.276333,0.154899,0.565065,2.402765,75.09576,0.006843,0.981588,4.590375
-0.166982,0.990288,0.592993,-1.374971,0.635091,-0.101734,-0.608742,1.563673,-1.052113,26.456474,-0.3502,0.3176,1.98136
2.006881,0.065895,1.987627,-0.755233,2.129345,-0.24444,-0.918426,2.445036,-0.567264,36.587625,0.05113,2.543176,38.427431
1.187129,1.121654,-0.592117,0.914709,1.150952,-0.061317,0.500501,1.274224,-1.851041,26.576653,0.019466,0.668785,25.11484
-1.665946,-1.354575,0.678342,0.814578,2.266094,-0.096102,-0.79544,0.653616,1.188028,0.879082,0.072488,2.230639,1.009562
0.866224,-1.241389,-1.367376,0.711958,0.390102,0.45754,-0.460811,2.284881,-2.702029,49.974126,0.3601,1.381684,20.160181
-1.267429,-0.384637,-1.415527,-0.081277,2.253666,-0.110344,0.620195,0.35783,2.557528,7.432171,0.359259,1.420145,13.21362
-2.900351,0.583131,-0.824315,-0.142386,3.912783,0.297965,-0.881822,0.175859,2.251678,97.709281,-0.405097,1.053837,16.866468
0.548219,-0.796746,-0.552925,-1.463427,1.683703,-0.084901,-0.266529,0.414493,1.031221,12.377614,0.017275,1.379249,0.238099
-0.33471,-0.352828,0.010732,0.342695,0.58561,-0.202251,0.138974,0.589647,-0.811795,10.811755,-0.434855,0.996747,-2.672855
0.602874,0.239903,-1.280168,-0.237056,2.991917,-0.266559,-0.923808,1.087755,-0.079093,44.854542,0.338445,3.5313,14.12306
2.368453,-0.206348,1.361954,0.720113,2.150417,-0.363175,-0.594108,0.776356,2.95633,92.869304,-0.400299,1.490348,27.365962
-2.353124,0.141181,0.481023,2.711004,3.958018,-0.344574,-0.089583,1.776842,2.276278,1.762992,0.178218,1.261447,-2.896627
1.973972,-0.815897,-0.589781,1.119824,2.78984,-0.021304,-0.531643,4.082926,0.988488,56.572782,0.133667,1.163974,5.325316
-2.18978,0.884059,1.522209,-0.730617,1.09561,-0.200273,-1.016557,1.531213,1.750792,37.961587,-0.240725,2.897159,17.619062
-2.953074,-0.20574,-0.440913,-1.855048,3.476896,0.017835,-0.302777,0.45185,2.604778,73.39376,0.127798,0.971535,3.925865
2.156826,1.175734,0.019009,-0.236132,0.733082,-0.46451,-0.671099,0.421398,0.744293,90.436532,0.002671,0.4352,16.803194
-0.444003,-1.327842,-1.103095,-0.169506,1.506719,-0.471855,-1.026695,7.702135,-2.278817,43.508572,-0.22892,0.345519,5.701573
1.181899,-1.582536,-0.897798,1.848402,0.627004,-0.331209,-1.364631,1.819113,2.925344,52.875645,-0.005534,3.069578,-10.081811
2.350842,1.709091,-1.754355,-0.361609,0.795437,0.06473,-1.754106,0.954935,2.683735,43.41606,-0.35225,0.594509,14.725853
2.444395,1.123352,-1.590474,0.283876,0.527084,-0.227122,0.365472,3.038424,1.190219,25.423337,0.176866,0.081853,23.224376
0.506665,-1.008581,0.049976,-0.319766,1.066927,-0.00822,-0.223574,0.12023,1.071399,97.69311,0.363986,0.812963,8.421914
-0.187711,1.942664,-1.489601,-0.988111,3.751704,-0.005042,2.073025,0.979328,0.630178,22.392163,0.188925,0.678988,23.32513
2.319357,1.167277,-1.636853,-1.219497,1.443099,0.293719,-0.652893,0.639325,2.269365,23.178445,-0.243587,0.402319,20.779693
1.037858,1.284363,-1.897468,0.040507,2.523161,-0.304764,1.41848,4.030052,2.741717,79.557412,-0.356618,0.246497,30.376945
-1.244258,-1.190963,0.47985,-0.78593,2.687742,-0.327035,1.028443,0.337918,-1.830408,93.355057,-0.435708,0.525717,4.956199
-2.923392,0.260385,1.772596,-0.121796,1.719091,-0.254359,0.492091,0.551865,-2.144958,13.039259,-0.284753,0.83101,8.638519
1.205003,-0.431693,-1.670041,-0.412965,3.276661,0.370632,-0.924727,0.206492,1.907188,47.793256,0.273846,1.013447,20.520523
-1.908633,-0.32233,-1.600954,-1.024225,1.338536,-0.100304,-1.519496,0.538777,0.577259,17.70626,-0.292811,1.335514,12.268916
-1.949412,-0.118521,1.791898,-1.393185,2.427854,-0.200858,-1.362281,7.765109,0.173295,61.564266,-0.467977,1.04753,33.6159
-1.417406,1.191348,1.425698,-0.468109,1.069154,-0.176605,0.627988,1.426734,-1.937985,37.309183,-0.069865,0.212758,17.129632
1.281034,1.000226,0.609295,-1.460941,2.226571,-0.100714,0.57124,1.288128,1.189889,96.27427,-0.373797,3.189472,16.534345
-1.915567,-1.029422,1.695745,0.262721,0.057322,-0.046957,-0.53519,1.438697,0.546574,99.311623,-0.407505,1.152565,30.242479
1.150971,0.804725,0.71528,-0.894004,3.15918,-0.066617,-0.581094,1.707032,-0.969292,4.59201,-0.332034,1.025497,16.767555
1.814865,-0.683629,-0.967388,0.526495,2.120013,0.343973,-0.381189,0.434753,-0.76564,67.034378,-0.186437,1.911972,17.808989
-0.642761,-1.959607,0.899083,-0.87842,1.38947,0.003077,-0.593222,2.546814,0.046104,45.612191,-0.271174,1.509962,4.585905
1.276196,-1.014179,-1.571198,-1.565412,2.486928,-0.260671,2.011164,1.312363,0.115945,37.443617,-0.438889,0.419567,8.886616
-2.370043,-1.694145,0.868771,-1.50298,1.718806,-0.135504,0.40303,2.672811,2.245974,15.202814,0.410332,0.342235,-18.365318
-0.686904,-0.845843,-0.493576,1.50335,0.243553,0.294058,-0.762633,0.257142,-2.274611,77.581192,-0.371993,0.583797,13.117003
-2.128131,0.398749,1.50191,-0.352325,0.510263,-0.406784,0.047641,2.401898,1.868455,97.996446,0.107871,1.243709,20.839815
-0.842062,-1.858415,-0.502892,-1.136248,3.893916,-0.195241,-1.895516,0.169094,2.0715,13.608925,0.139099,0.330171,-24.688612
1.347136,0.922202,-1.490844,0.257159,3.996232,0.104338,-0.781252,0.802215,-0.197864,18.442722,0.247309,0.678128,17.226414
-0.294247,0.810491,-1.689124,-0.668176,2.989406,-0.414355,-2.052896,7.751356,-2.766386,67.772768,0.074164,0.704792,31.198096
-0.743411,-1.4778,0.504101,0.682859,0.772457,0.13539,-0.173742,7.770365,1.416985,18.561246,-0.248446,1.629392,-8.810814
-1.235584,1.114565,-0.997069,-0.628839,1.534591,-0.267614,-0.740792,0.975292,-2.532702,31.772864,0.194821,3.576736,1.538428
0.35453,1.47197,0.680347,0.640977,0.637931,-0.364908,-1.677224,0.433687,1.038956,81.033909,-0.329967,2.901664,16.50143
2.805287,1.971109,-1.215666,0.045226,2.326447,0.473338,0.801661,2.130433,0.76763,11.403083,0.103477,2.295931,38.299213
1.49937,-0.797544,-1.325835,1.561605,0.385937,-0.155957,-1.002229,3.147231,1.91516,87.651958,0.157384,3.883092,33.92493
