x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-1.136257,0.419088,-1.115279,1.780358,-0.518914,-0.9431,72.204992,-0.28667,-0.653929,0.604983,0.32064,0.416145,-0.284027
0.596487,-0.861326,-0.593949,3.794797,1.18495,-1.255967,26.222722,0.146952,-2.092271,2.239627,0.756919,0.097664,15.663722
0.214932,-1.075664,-0.402233,0.826186,0.166405,-1.190597,15.547516,0.211221,-1.385762,3.520293,0.250605,-0.432647,3.370928
2.661254,-0.113242,-1.69975,0.973304,-0.624744,1.776905,8.24378,0.457593,-1.228745,2.872435,1.72173,-0.358654,7.665497
-1.403633,0.469919,-0.759079,1.263079,-1.440168,0.6585,89.891041,-0.382364,-0.389986,0.388755,0.200668,-0.121104,10.315481
-1.473787,-0.085176,-0.691945,0.549991,-1.204707,1.083702,54.62737,0.415328,-0.866676,1.189812,0.158536,0.110092,-6.184573
-2.093996,-0.58807,-1.027542,0.475707,-0.852916,0.76845,97.349232,-0.471486,1.156877,1.212161,0.498402,-0.07965,9.203426
0.006176,-0.786078,-0.153604,0.805258,-0.835811,0.805408,94.371347,0.000938,1.696575,0.238908,0.615972,0.042271,-3.469732
0.686041,-1.819414,1.846274,2.937551,-1.226236,-1.510722,67.126237,-0.021474,2.002335,0.562448,1.889379,-0.494896,35.261769
2.151867,0.490994,0.16557,1.25361,-0.336227,-0.079105,4.144445,-0.369344,-2.016287,0.062529,0.445977,0.190078,7.527623
0.837386,0.17942,-0.50367,0.860212,-0.435165,-0.347191,54.844378,0.04488,2.553497,0.252929,1.841168,0.326752,1.356962
-2.460807,0.812166,1.413622,0.570011,0.009097,-1.941811,47.647814,-0.013433,-2.49118,0.219461,3.258775,-0.229831,13.999794
-1.541698,-0.159333,-0.119192,3.855974,-0.501307,-1.9064,29.183122,0.446495,2.724083,0.747652,1.480808,0.257056,4.601309
-1.071225,0.200339,-0.972759,1.903997,-0.106047,-1.641993,84.571311,0.312865,0.359958,0.746825,0.356512,0.295297,21.074871
1.420021,-0.962636,0.511245,0.610953,-0.32588,-0.239624,66.404285,-0.418359,0.86665,1.146638,1.237767,-0.385048,7.857879
-1.565612,-0.185422,1.455998,3.250421,3.010439,1.920962,30.159336,0.281676,-1.955136,0.516256,7.969818,0.08478,29.663186
-1.023836,1.03783,0.638385,0.398021,1.899049,0.484422,6.331056,-0.231971,-1.971769,0.129707,0.73218,0.009672,-0.030927
2.868708,1.388318,-0.846416,0.202989,-0.03766,-1.862874,81.850568,0.132109,-0.30311,1.450842,2.550002,-0.052966,28.250487
-2.869885,0.635065,1.714353,1.707138,0.337196,0.353444,0.135795,-0.375857,0.955596,0.266038,0.567798,0.023639,2.231303
