x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
1.023299,0.102661,1.838643,-1.773708,0.110588,1.15694,1.013088,2.27126,0.086432,1.854195,98.767901,0.549847,16.732518
0.924692,-0.15105,2.692632,0.312735,0.880121,0.357057,1.867607,0.840361,0.464278,-0.427468,60.34049,-1.643822,-2.004964
0.729352,0.042569,2.213634,2.358633,-0.928896,-0.50845,-0.456417,0.789206,-0.143817,-0.414166,26.724456,0.889604,16.746006
7.526002,0.3787,1.679754,-2.487595,0.557169,2.692072,0.302035,0.396735,0.167174,1.611814,12.645031,-1.719755,-13.378319
0.092507,0.424696,1.300936,-0.6318,0.914449,1.234627,-0.786058,0.56955,0.119895,-0.838882,71.74,0.491831,4.358708
0.842981,-0.437564,2.64211,1.690642,1.204786,0.371084,0.357004,0.061737,0.257067,-1.027355,86.907245,1.825703,23.573069
4.07369,0.471167,2.040917,-0.547638,0.850396,-0.876432,-0.046727,0.107382,-0.133773,1.023177,49.755178,-1.063639,-2.724746
1.055372,-0.417337,0.22336,1.607638,0.389267,-2.27221,-0.484994,0.233338,0.364594,1.970591,86.726964,1.809082,47.031401
2.342357,0.253536,2.462776,0.132836,-1.778018,1.551732,-0.012778,1.545439,-0.480327,-0.987942,87.821947,-1.751406,10.1363
1.988366,-0.344453,0.558898,2.606857,0.795608,1.245581,-0.416323,1.066485,0.302402,0.139021,14.333364,-1.374637,-16.284318
1.405456,-0.21556,3.802993,2.711647,1.192314,-0.720031,1.605437,3.622287,0.385978,-0.863398,43.706119,1.864544,14.67465
0.517074,0.033426,0.638014,2.104947,1.172726,-2.23605,-0.90784,0.044841,-0.46326,-0.472083,80.491473,-1.381901,13.75538
1.124197,0.009787,1.093735,-0.209747,0.502303,1.588038,-0.178316,2.943822,-0.203907,1.009122,82.496177,-0.293423,16.272088
2.996987,0.321553,2.449787,1.242618,0.853161,1.589912,-0.434476,1.160929,-0.113964,-1.285802,79.387633,-1.622453,15.220703
1.290677,-0.216049,0.110822,0.264134,0.878726,2.31321,0.975379,0.235789,-0.486185,-0.477019,12.073941,0.16335,14.970306
1.448825,0.4632,2.468922,-0.81266,-0.143091,1.356518,0.923797,2.239358,-0.183973,-1.014034,3.423159,0.599159,8.796869
0.926439,0.192854,3.009996,-2.053632,0.214171,-0.262901,0.203854,1.407149,0.490527,0.773159,79.987676,0.329389,2.608216
0.863299,0.40873,2.293324,0.11623,1.530279,2.62414,0.967258,0.373081,-0.370127,1.049156,99.808924,1.557867,42.368385
0.933154,-0.227292,0.764451,0.886801,0.046341,-0.564872,0.785547,0.749774,0.437323,-1.041183,2.918339,-0.194449,5.98384
1.572797,0.467533,2.038094,-2.10206,-0.650931,-2.344715,1.878139,0.066086,-0.189071,1.910231,99.155458,1.525932,25.464522
0.451839,-0.41997,3.084756,-2.231039,-0.359685,0.620246,-0.470128,0.605486,0.283975,-1.888022,18.82536,0.979879,30.18097
0.260091,0.299573,3.962808,-2.201378,0.580573,2.992609,0.312519,2.368593,-0.148318,-0.018765,39.252838,0.443963,-18.30402
0.546142,0.003725,2.516646,-1.309032,-0.760246,0.126578,0.514074,2.239264,0.402187,1.258372,77.158157,-1.868436,-4.645578
2.088047,-0.207924,3.520054,0.499431,0.704185,-0.012147,-0.064132,2.652265,0.313723,-1.901249,81.171372,-0.270865,36.249969
2.112475,0.472497,2.032358,-2.934247,-0.283325,1.508137,1.957053,1.842771,-0.342059,0.137849,63.434727,-0.410811,-2.43524
1.974783,-0.046799,2.489359,2.556457,0.781103,-2.174918,0.254722,2.814786,0.050616,1.305043,72.773653,1.155931,32.486101
0.372942,-0.37189,1.714008,2.584135,-0.533062,-1.093554,1.253436,1.249943,-0.087191,-1.795761,67.897225,-0.12426,8.951245
0.593417,0.024299,1.472038,2.145608,3.170122,2.34043,0.246161,0.627129,-0.183781,-1.120487,90.480076,-0.153219,21.109422
3.694698,0.15415,1.980425,-1.639698,0.656844,2.943585,0.351495,0.922295,-0.45954,0.908919,21.440927,1.107972,7.147968
0.217737,-0.207149,0.481406,1.024503,0.51329,1.841209,-0.301652,4.191019,-0.238366,-0.998488,96.041312,-1.101234,9.601526
9.397729,0.401334,1.498299,-1.931114,-1.306683,0.153247,0.285097,2.952577,-0.473579,-0.506822,90.442869,-1.630118,0.958343
0.488242,-0.051108,0.091247,2.3897,-0.254166,1.973795,0.683546,6.656376,0.086298,0.479028,67.732048,-1.855335,8.893449
0.277954,0.036329,1.692739,0.634526,-0.82636,-0.313156,-0.79498,1.470051,0.322183,-0.835875,49.476611,1.530931,4.458875
2.546055,0.142322,0.680064,2.193037,1.711225,-1.13051,0.087491,1.973836,-0.334273,1.39636,47.452469,0.880495,20.644593
3.759496,-0.080762,0.453743,-2.153394,0.581284,0.230947,-1.571094,1.693265,0.154947,-0.818242,52.139227,-1.540641,-1.093946
0.622396,0.498404,3.801937,-2.543844,0.745592,-0.552123,0.283886,1.579017,-0.409217,1.422867,12.188452,-0.390076,-15.981738
1.000124,-0.226826,3.619306,-1.561915,1.010187,-0.228358,-1.197722,0.687984,-0.039652,-1.331557,30.978839,-1.685569,-2.542553
