x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-1.836324,0.466731,-0.385594,0.187457,0.264815,91.179271,-0.423739,0.995881,2.852695,0.155165,3.365516,3.242985,8.809402
1.913288,0.144765,-0.281999,0.252806,-0.396607,4.561032,-1.74075,-2.071853,2.37964,-1.011022,1.611325,0.544112,25.081143
-0.254875,0.423503,-0.910639,-0.418849,0.195882,21.50229,0.503512,-0.088578,0.302156,1.121312,3.246693,1.311269,10.426509
1.017343,0.328149,0.54527,-0.39646,-0.182838,48.473573,0.109023,0.219696,2.073591,-1.809688,0.680854,4.68527,5.140764
1.613129,2.9166,0.670921,-0.324329,-0.007261,7.317397,-1.278021,-1.66507,0.090134,-0.475989,1.284861,0.459252,31.384558
0.919334,0.961949,-0.6775,-0.027464,0.367899,6.804092,0.381285,0.765265,2.916677,-1.066969,0.246224,0.153158,4.944518
0.011935,0.365636,1.164397,-0.4124,-0.191904,79.877872,1.934522,0.304197,-0.215277,-0.526471,0.339186,0.325346,34.865482
0.017897,3.448221,1.071199,-0.161727,-0.235998,34.915266,1.179481,-1.631432,-0.488124,-2.45626,0.486851,3.125114,14.620883
1.636807,0.740028,-0.180231,-0.363489,-0.192215,84.524743,-0.616423,0.039875,2.234051,1.524068,3.785304,2.527566,21.431733
-1.075511,1.10896,-2.075591,-0.208006,-0.371885,36.479134,0.672168,1.009456,-0.709682,2.359339,2.400486,1.910142,0.576549
-1.989015,0.326418,1.615368,-0.229788,0.336744,35.255679,-1.917819,0.476229,2.532393,-2.212554,3.261761,9.09172,17.245715
-0.119484,1.478531,1.278113,0.188197,0.05061,38.14539,0.142259,-0.122173,1.150442,-1.327107,3.556021,0.622982,-5.74973
1.49985,0.291508,-0.55458,-0.045277,-0.166593,99.932808,1.68887,-0.218625,-2.532728,0.072453,2.314636,0.251416,44.862292
0.325669,0.145899,0.286333,-0.456735,0.467371,60.271001,1.845075,0.385163,-2.954336,-0.954572,2.376431,0.210909,41.709102
0.852337,0.223848,-0.919649,-0.217023,0.48455,43.628998,-1.935663,1.030676,-0.811093,2.577405,3.027007,0.221502,25.670973
-1.961153,0.891472,-0.00923,-0.103078,0.205753,94.088281,1.844172,0.82337,-2.919163,-1.745046,2.812385,1.239212,-0.818943
-1.69004,1.260603,0.776592,-0.043424,0.167584,89.384742,-1.573644,-0.957096,1.625352,-1.764246,1.625238,2.558966,5.286885
-1.844575,0.663319,0.453483,0.157863,-0.135676,55.912575,1.795092,-0.904207,0.830667,-1.423718,1.333166,1.291319,-4.754774
