x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-0.158439,0.281534,2.678609,-0.318256,-1.638122,2.911188,0.441112,-1.329821,0.382228,2.055634,3.512119,84.628271,8.653856
-0.060251,-0.142111,0.599478,0.299893,-1.887027,-1.842135,0.63239,-0.541273,0.060819,1.081418,0.147274,86.092716,7.850352
0.023078,-0.645241,2.507492,-0.140518,1.187332,1.984703,2.219909,0.225973,1.760022,0.498585,1.758152,56.466271,4.797511
-0.117543,0.614731,-2.454597,-0.357983,1.172058,-2.660273,2.102785,0.836012,-0.955273,15.262085,1.122356,60.340336,28.055699
0.446281,-0.191211,0.466663,0.291849,-0.073228,1.812737,2.410873,1.313824,-0.132616,0.366464,2.222893,33.103483,13.975004
-0.025886,-0.637896,0.009542,0.455396,0.888781,2.531315,0.373737,0.866816,1.149855,1.739096,0.260143,2.561638,8.893168
0.155479,0.279692,-1.552916,0.055552,-0.642325,1.065703,0.68686,-1.910758,1.20113,1.303003,3.277978,78.347636,30.093741
0.317266,1.549335,-2.496135,-0.377516,0.274426,0.502562,1.301541,0.236624,-0.210383,2.552359,0.725243,61.67877,-8.230757
0.351217,-0.72036,0.495963,0.319898,-1.92884,0.006636,2.943245,1.533523,-1.51983,1.837558,0.472787,27.370913,-0.046116
-0.004202,-0.443123,2.677554,-0.134412,-0.055625,-1.954233,1.574276,-1.645509,-0.720114,6.64099,2.186562,30.198404,26.733728
-0.156208,0.197363,0.194203,-0.34129,0.411655,1.790207,3.281795,-1.452817,-0.487763,0.891293,1.037493,63.253961,24.276681
-0.30114,0.059908,-0.745748,0.446922,1.295014,1.454809,1.952558,-1.6082,-0.065607,1.528965,2.231711,35.138976,26.539662
-0.32016,1.527297,0.169569,-0.073833,0.336816,-0.581244,0.13187,-0.406009,-0.221296,0.350747,0.038402,97.235903,13.763957
0.303435,-1.314925,-0.790366,-0.430438,-1.585567,2.479133,0.556198,0.157327,-0.451244,0.646509,0.365421,76.665715,2.186832
0.194135,-0.103207,0.478589,0.428522,0.379869,-2.672217,2.373376,0.723378,-0.499844,0.786063,3.53417,46.843894,2.712393
-0.36161,-0.565133,2.866847,-0.278058,-0.586164,-1.64891,2.199955,1.732506,0.453923,3.646107,1.051057,43.1807,17.92821
-0.123746,0.284777,-0.103312,-0.010376,-1.74246,-2.991181,1.11046,-0.474515,1.044139,0.111373,0.865293,37.133271,-22.711327
-0.169324,-1.178156,-1.849098,0.352962,-1.387401,-0.988348,0.372065,0.638361,-1.776981,0.261421,2.043572,20.545281,-8.446498
-0.039416,-0.268482,0.342754,0.262298,1.035579,-2.830506,1.873683,-0.167131,0.951244,0.28358,3.678337,57.797805,-1.090828
0.396693,1.516739,1.472154,0.34068,0.612885,-1.268175,0.35599,1.898406,1.020434,0.503108,2.504674,93.492042,42.317524
0.184324,0.460045,-1.807036,0.438243,-0.094571,1.651206,2.417658,-1.7016,-0.454822,1.086258,2.220015,13.449167,18.536966
0.201148,0.319967,-0.154023,-0.445687,0.069937,0.688974,0.764761,-1.329653,1.269424,10.172553,3.807066,44.838221,9.038357
0.090314,-0.196632,-0.250112,-0.324359,0.742165,-1.970091,4.394296,-0.240397,-0.142378,3.239515,0.861402,16.379385,6.867709
0.24332,1.380036,-0.997982,-0.118269,1.05396,1.883333,0.790859,0.689403,0.506457,1.077021,1.288524,21.590784,5.133642
0.429807,0.320169,0.813317,0.428264,-0.639804,-0.798202,0.290406,-0.375684,0.242159,1.499986,3.58127,36.281025,7.404263
0.292939,0.545986,1.149174,-0.341512,-0.714565,-2.22695,0.06725,-1.982969,-1.210005,0.395365,3.091097,95.239383,38.136762
0.466808,0.994717,-2.31209,0.367188,1.877996,-0.208606,0.629514,-1.826918,0.53476,1.711398,0.72607,41.525483,20.055695
0.085954,-0.035017,-0.713246,0.121132,-1.675762,2.574711,1.266886,-0.681097,0.11642,0.426618,2.63603,64.657598,-9.743001
-0.027993,0.295077,2.816088,0.380649,0.58575,2.728793,2.207964,-1.494457,-0.021505,1.01889,2.272385,55.501126,33.404957
-0.391316,0.59821,-0.181285,0.162722,-0.139524,1.344168,0.412903,0.139678,0.242057,1.958733,0.731593,18.823275,-4.286257
0.408842,-0.504537,-2.927246,0.489508,-1.769382,1.285022,1.391852,1.221395,1.513316,1.110531,0.887727,50.876291,-14.190293
-0.406885,-0.381435,-0.065714,-0.205757,-1.073905,-0.071025,0.280187,0.482669,-0.26185,0.85724,2.348828,82.71568,21.4278
0.399373,0.790872,-2.820344,0.445134,-0.009735,-2.619964,0.50246,-0.937527,0.882234,0.410358,2.603792,90.48815,-6.815107
-0.30641,0.222776,0.977826,-0.035664,-1.515576,1.84641,0.8553,-1.921634,0.050553,0.933603,0.84364,93.275553,14.43117
0.035613,3.197908,1.835996,0.364986,1.731463,-1.741557,0.478939,0.811831,0.209942,0.99262,2.580297,23.607803,19.569399
-0.188205,-2.020828,-2.434623,-0.180825,-1.718663,-2.337154,0.159522,-0.18427,-0.885058,0.805495,1.601513,17.65181,-19.795592
0.308076,0.940153,-1.737103,0.440665,-1.942291,0.94527,1.504246,0.24993,-0.356507,2.89491,1.908598,51.410156,-23.498109
-0.278456,0.63768,-0.146037,0.340991,0.019395,-1.224917,0.74822,-0.919367,-1.335939,5.456767,2.77903,14.770229,5.458948
0.367983,1.087799,-1.614598,-0.242832,1.859735,1.114132,0.778275,-0.456397,0.845402,0.240894,2.000674,63.546332,10.622008
0.383972,-0.777623,1.209395,-0.270569,0.172066,-0.385459,0.703536,1.589497,1.815342,2.187999,3.572063,33.536919,16.871702
0.456607,-1.255355,2.984231,-0.490097,1.451051,2.274331,3.920022,1.993967,-1.796791,0.50712,1.008904,8.796374,54.319578
-0.309346,1.288904,1.031985,-0.146299,-0.363517,2.169454,0.250443,1.574611,-0.496511,1.239253,2.467312,51.325835,18.523079
0.09558,-0.247668,1.155301,-0.140471,0.528138,1.675286,0.454247,-0.072289,-0.946215,2.359337,0.505615,16.260417,-0.015211
0.22264,-0.005056,-1.371608,-0.048749,0.127271,1.596506,0.819052,-1.179853,2.175737,1.462902,3.763979,55.24805,0.0661
0.032348,-0.291476,2.981285,-0.113829,-0.768169,-2.289373,0.280057,-0.200774,-0.538163,0.252801,0.120471,48.425183,11.170406
-0.051054,-0.892507,-1.277086,-0.372331,0.714943,-2.286938,0.382068,1.656258,-0.659816,0.69273,1.78318,97.059819,22.349525
-0.498004,-1.445541,0.521805,-0.139276,-0.219127,-0.314203,1.653574,-1.612928,0.509735,0.81651,0.894181,50.802468,-0.921716
0.022206,0.506583,2.930224,0.096761,-0.045217,0.513455,1.064278,-1.743103,1.913719,7.120567,2.987256,4.423792,32.34142
0.078531,1.121857,2.986118,0.405959,0.686419,-1.105102,0.504615,-0.377489,0.416654,4.084259,3.082655,36.666181,20.197471
-0.038242,-0.813186,2.360267,-0.255121,-0.034152,1.592548,1.750297,0.210433,0.821336,0.640453,0.73161,99.957298,6.950001
0.460259,0.459713,0.622139,-0.472273,0.542788,-2.282327,0.20029,-1.588954,-0.068702,0.440322,0.857464,51.542145,8.759439
-0.241943,0.220731,0.66539,0.404295,-0.734381,2.754563,2.076561,-1.770437,-0.221114,0.397616,3.530705,17.801008,7.434535
-0.388434,-0.249739,-2.524032,0.35897,0.2715,0.481694,0.400317,1.473387,1.298637,1.570775,2.514504,70.265825,23.765573
-0.238981,-0.199657,1.89512,0.119254,0.769662,2.153581,1.247433,-1.19899,1.787829,3.001728,2.890772,42.444919,5.956593
0.197834,-0.502157,0.231164,-0.275571,-1.569375,-1.020553,1.648232,-0.542477,-1.865282,5.23857,1.561124,91.544282,1.508859
-0.495781,0.486005,-1.91926,0.315666,-1.560241,2.302555,3.576312,1.321003,-0.95798,3.962145,3.704311,94.689636,13.836839
-0.076609,1.052823,1.599285,0.217442,0.320454,-1.793145,1.847759,1.699091,2.080579,0.753238,3.031039,29.79205,16.768757
0.132754,0.271106,-0.01823,0.460846,-1.538406,2.773821,5.46574,1.943114,1.540548,4.622973,2.765184,5.149639,4.40162
0.250813,-0.664131,-1.194842,0.353095,0.248596,-1.96142,1.285182,1.464308,1.22296,0.519701,0.840787,65.434327,0.405505
0.419621,1.745571,2.517681,0.092105,-0.606181,-2.643902,0.688725,1.024794,-1.595975,1.850445,0.841802,37.863863,27.138355
-0.486127,-0.384669,0.286268,-0.296899,-1.398207,1.37013,0.129189,-0.174842,-0.469137,4.136826,2.727949,44.976194,-9.648672
-0.083406,0.379749,0.157243,0.059571,1.189234,-2.734221,1.249511,-1.812675,0.885113,2.484311,0.343944,70.16907,29.799764
0.285712,-0.080559,2.386227,-0.203485,-1.053034,1.698284,0.239689,0.743923,0.429074,6.496604,0.41502,27.478724,19.489482
-0.047993,0.93184,1.879614,-0.422502,-0.414249,-1.24396,3.372648,1.282554,-0.725645,2.335258,2.51076,76.794499,28.888336
0.15259,0.993415,1.648447,0.267832,-1.92682,-1.33693,2.821432,-0.375997,-0.657408,0.875995,1.499627,65.213168,-0.492473
-0.335475,-0.210851,0.171382,0.13765,1.182149,-1.315498,0.938448,-0.021022,0.880957,0.628619,1.947497,92.22275,3.121474
-0.332157,-0.262486,1.89547,0.421059,-0.772716,2.380843,4.280071,-0.891793,-0.529934,3.930063,3.353462,87.743259,20.586541
0.482814,0.97924,-1.6557,0.053656,-1.46358,0.545344,0.972993,0.126953,-0.014289,1.372382,1.040253,23.540348,-13.603926
0.057333,-1.463694,2.22162,0.293174,-1.68614,1.959932,0.370173,1.296039,-2.442855,4.700361,2.895362,15.765094,-2.585165
0.14755,-0.837031,-2.162436,0.039328,-0.172965,-2.146477,5.008535,-0.214977,1.17321,1.907079,2.685978,11.890917,-14.133851
-0.125361,0.165008,-2.58322,-0.001029,-1.934137,-0.361943,1.81532,0.489977,-0.632756,0.892954,1.342918,12.903856,-8.327996
-0.400705,-0.786136,1.604985,-0.193476,1.617275,-1.041666,2.41578,0.29537,0.556069,0.260516,2.601478,1.465007,5.227659
0.199278,-1.165697,0.910857,0.262053,-1.155471,-1.206461,0.749178,0.056078,0.391966,1.380073,2.7501,83.601907,3.892687
-0.306382,-0.460917,-0.533415,0.045235,1.844625,-2.871194,0.573607,1.23143,-1.070458,2.696939,2.144602,6.42145,31.878206
0.494786,1.001943,2.69988,0.472476,-1.677885,2.759258,2.727901,-1.13652,-0.614403,1.801351,0.035466,72.845786,25.017433
0.066055,-0.272442,2.745173,-0.359005,-0.770808,-0.061465,0.583981,0.498318,0.621163,0.540647,3.238417,33.744037,6.350131
-0.080401,-0.024012,2.559162,0.239474,-0.56008,2.5093,1.801046,0.527666,-1.810578,6.399406,1.830694,45.903702,1.27316
0.054665,0.393104,1.599082,0.044634,-0.218074,-2.067641,2.580184,1.175737,0.232373,3.039406,1.805072,38.959973,11.937782
0.22118,0.858083,2.638057,-0.071184,-1.907269,-0.495341,1.166474,1.393303,1.351165,0.321468,1.119069,34.283996,5.767105
-0.235548,0.997837,1.529804,0.453917,-0.776355,1.559773,1.116252,0.062073,0.760838,2.797656,3.408844,12.801978,9.626305
0.130964,-1.777234,1.827977,-0.267394,-1.60114,-0.521924,0.300434,-1.870623,0.735073,1.13171,1.582564,64.774183,13.813777
0.349303,1.436277,-0.095481,-0.238021,0.655827,-2.25738,3.995422,1.557261,1.00426,0.363599,0.075042,8.772722,16.581876
-0.212175,-0.290477,-2.942226,-0.455956,-0.434045,1.992401,2.982885,1.072874,-0.128209,0.885044,2.915931,62.702971,16.918452
0.408782,-0.002192,2.728294,0.412929,0.888836,1.481631,1.346386,1.205872,0.458895,0.815352,3.098953,49.055621,26.599996
-0.385321,1.233296,2.765501,-0.109566,1.182679,-2.583857,2.697389,0.458499,0.031198,0.617492,1.350021,1.031073,7.003259
0.17605,1.573234,-0.239968,0.164011,1.994695,2.028707,0.587864,-1.053812,-0.725734,0.121479,2.422322,58.266354,25.791127
0.219899,0.486302,0.998178,-0.024257,1.62247,-2.794091,0.672725,0.460564,-0.23758,2.196248,0.481099,56.347833,21.616496
0.239395,-0.406111,-2.501,0.495153,1.055388,-1.38706,0.519405,1.403689,-0.372979,1.033227,0.523238,93.854103,13.503372
0.336219,0.82851,1.059551,-0.146936,-0.290417,0.666118,2.184982,-0.077688,-0.323538,1.259927,1.499186,84.335381,14.603667
0.361319,0.652855,-1.776776,-0.0733,-0.279362,2.141711,6.526847,-1.981028,0.03894,1.125841,3.615812,28.017176,-1.254609
0.342198,0.392328,0.475968,0.182071,1.477452,0.700995,1.954724,1.886247,-0.369271,4.970521,1.964282,70.656719,30.036016
0.142079,1.782699,-0.73466,-0.366364,-0.023646,-0.630499,0.865379,1.267925,-1.189511,4.567857,1.063785,26.864911,17.72141
0.345288,0.589562,-0.05536,-0.189941,1.735655,-1.228099,0.33877,-0.503376,-0.898811,4.046237,2.191761,81.595731,33.74101
0.23961,0.14666,-2.230162,0.330814,0.737381,-1.388546,0.470987,-1.570405,-1.811646,0.370108,3.631287,40.258472,-5.432398
-0.090039,-0.997551,2.068899,-0.285989,0.603775,1.58673,0.417331,1.836765,0.392076,1.890004,3.394467,25.628097,30.257918
-0.458029,-0.621254,2.812406,0.193228,-1.181718,-0.510266,1.584349,-1.273379,0.098097,1.786489,2.053958,4.479753,0.539481
0.383215,-0.525364,-1.630025,0.389313,-0.240493,1.057503,0.283223,1.486268,0.338716,1.579079,0.861848,56.374343,0.032217
-0.358137,-0.216312,2.948107,0.359234,-1.525484,-1.237622,0.206268,-1.634014,1.927064,0.273439,1.567107,19.857985,-11.597301
-0.320854,0.852045,-1.096118,-0.066143,-1.327716,1.612158,0.965048,1.981631,0.316809,3.668851,0.923443,92.467823,27.104206
0.201716,0.387427,-1.543029,-0.06286,1.379185,1.078587,4.014284,-1.160695,0.053144,0.701667,2.91717,22.662939,5.536527
-0.435974,0.393437,-2.100088,-0.257116,-1.276418,-1.916194,1.147082,-0.901171,-1.473025,0.441743,1.247087,48.117169,13.720682
0.361145,-0.174084,2.716902,0.230513,1.05808,0.157871,1.367456,-0.052853,-0.608013,0.081829,0.779631,67.878136,10.633588
0.11976,0.434779,-1.746345,0.241543,0.202588,-0.286986,0.397365,1.101595,-1.669999,0.370457,2.402674,56.096889,8.814809
-0.136484,1.008176,1.038544,-0.000653,0.075527,-0.491492,0.892862,-0.150142,-1.468802,4.04961,2.981484,41.313573,3.167174
-0.291587,0.005037,0.89543,0.288092,-0.646273,0.505622,0.406245,1.525161,0.275222,1.035207,2.848109,42.340513,8.709239
-0.447124,-1.451443,-0.860136,-0.184575,0.141065,-1.832353,1.504559,0.841269,0.794708,0.41108,1.804876,53.488177,7.576197
-0.409836,-0.2109,-1.987007,0.202911,-1.167461,1.961227,3.427556,1.843315,-0.813639,0.595487,2.010229,66.773603,23.818138
0.388591,-0.529206,0.642916,-0.021987,0.508117,1.111569,1.62367,1.563349,-0.548248,0.994459,1.532651,39.267048,8.392535
0.249051,-1.139231,0.155971,0.072241,1.433812,-1.95244,2.27972,1.950721,-1.249916,4.757215,2.114589,80.589489,52.726295
-0.440184,0.083238,-1.67712,0.033243,0.815941,-1.97879,0.601488,1.708341,-0.047481,2.527294,0.521929,63.681155,26.041708
0.033392,-0.245266,-1.635305,-0.204698,-1.140703,-1.118778,0.257409,1.026662,0.890018,0.111452,2.89784,38.33237,-14.235097
-0.130823,-0.828152,-0.111424,-0.161064,1.661293,-2.748432,2.190402,1.754586,0.305512,1.051527,3.64041,85.763247,28.102441
-0.499358,-0.241091,2.658109,0.138305,0.457978,0.300067,3.032861,-1.083697,-0.955048,3.329558,2.936994,36.794143,-7.517316
0.006961,0.875128,0.02315,0.419797,1.713847,1.261145,2.065208,-1.39284,-0.843119,0.435892,2.303625,2.174907,28.262558
0.042704,0.141462,-0.948562,0.389724,1.461895,1.34375,2.200935,0.200579,1.22841,0.412363,3.251629,56.881464,12.037248
-0.035771,-0.391428,-1.606261,0.441859,0.781624,1.559227,0.788366,0.056495,1.024107,1.796791,3.369182,95.095282,16.756772
-0.407461,0.716415,-1.338522,0.236927,-0.592492,-2.744782,0.484204,1.050899,-1.463882,2.43433,3.193552,85.059559,20.683272
-0.335153,-0.5446,2.91714,0.36866,-0.415217,2.179171,0.256024,-1.236983,0.487941,1.179152,1.523996,48.290565,2.133822
-0.358711,-0.570945,1.482825,0.403102,1.060651,-2.27513,0.153426,1.871239,-0.005174,0.548235,1.13132,35.444336,22.726125
-0.257287,-1.19915,-0.274857,0.481558,-0.811344,-2.813962,0.921229,-0.609931,-0.99098,1.391453,3.446966,2.004873,13.963398
-0.411921,-0.417493,2.809194,-0.283832,-1.193446,-0.076533,0.599953,1.939467,0.672121,0.586602,0.815307,38.015679,1.654026
0.337305,-0.10089,0.460373,0.46652,-0.217712,-1.678524,0.729166,1.758038,-0.636944,0.419579,3.149218,45.368071,27.799855
-0.303736,0.279913,0.149554,-0.126177,1.214623,-2.877851,10.250736,1.546804,0.415004,2.294937,3.277032,95.556226,42.111268
-0.102077,-0.794672,2.484681,0.486291,-0.543892,-1.181864,1.320885,-0.199791,-0.693819,1.130048,3.380288,82.347013,19.446212
0.115603,-0.916835,-1.846739,-0.224214,-0.96955,-2.267743,0.583437,-0.144864,1.207943,1.204367,3.414143,67.169854,7.456222
-0.129866,-0.119148,1.96114,-0.312241,0.48579,0.977048,0.939193,-1.080236,-1.128373,3.187155,3.804432,47.052895,-1.378186
-0.451909,-0.077226,1.567411,-0.079296,-0.563916,1.697524,1.052052,1.324387,0.684812,0.48203,0.798821,48.178677,-3.305412
-0.412126,0.290405,-0.961785,0.457549,1.668826,1.353483,1.800714,-1.991277,0.781164,2.542303,1.957818,62.913541,46.428963
0.011174,-0.52654,1.894548,0.27015,1.123004,-0.218461,0.545587,-0.438535,-1.38489,1.547068,3.859377,80.208173,20.455755
-0.265072,-0.320053,0.327677,0.212089,-1.96583,-1.46862,1.434072,-0.390407,0.923441,1.101483,0.878722,32.905155,-10.672116
-0.328804,1.996733,0.168043,0.168088,0.281191,1.920729,1.060079,-1.328628,-1.281396,2.884695,0.327253,8.730813,20.943738
0.377379,-0.77016,-0.180514,0.260833,-1.74686,-2.272921,0.592373,-1.132954,-0.525697,1.44326,0.80527,18.411204,-14.674417
0.292863,0.295279,2.724383,0.302297,0.673085,-1.914983,9.220746,1.467609,0.763155,3.818028,1.697824,69.6268,26.981524
0.065165,1.090851,-1.494282,0.201137,0.889985,1.927327,5.133704,0.498643,-0.826666,0.963345,3.721407,97.773339,1.053942
0.4457,-1.736301,-2.698726,0.397564,-0.032561,-0.771808,1.704625,0.640564,-0.123474,0.145894,2.933662,26.879411,-29.705771
-0.349717,0.041474,-0.114347,0.16453,1.386878,-2.602631,2.868928,1.444215,1.182749,1.951534,2.509829,64.479415,24.691066
0.310506,-0.908731,-0.942778,0.419693,1.257621,-2.011967,3.782432,-1.180404,0.142871,2.298998,1.893108,57.734867,8.234418
