x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
1.35929,-0.188038,-1.383761,1.011649,1.879445,-0.321068,0.811609,0.048127,2.334528,0.203858,0.527114,17.708527,14.964524
0.39409,-0.361846,1.420614,1.976345,-1.807046,0.142441,0.273826,0.370344,0.103899,3.057136,0.062203,15.846326,-1.67849
-0.728139,0.375267,-2.854631,-1.11741,0.60494,0.432746,0.785503,-0.333563,3.528091,1.750646,2.612316,36.013896,-1.668963
0.292851,-1.637378,2.279835,0.997735,-0.167319,0.335853,-0.084357,-0.263012,2.830488,5.736938,1.13806,83.839913,18.453173
-1.775299,-0.772394,1.11823,2.807983,-1.412777,-0.348793,-0.408632,-0.290085,0.878633,0.40155,1.553456,44.130223,-0.229844
0.870166,-0.420861,1.991439,-0.798364,-1.65385,0.178232,1.126033,-0.216983,0.37542,0.6468,0.950769,86.443551,11.897915
1.539764,-1.123658,-0.473521,-1.812228,-0.625627,0.140154,0.383146,-0.184764,3.79267,0.725647,1.445926,12.136173,2.392275
-0.124049,0.766201,-0.076222,0.81931,1.003531,-0.14341,-0.130024,-0.009757,1.024333,0.425513,0.526867,69.190027,11.460837
-0.509045,-2.75121,0.508867,1.701021,0.837083,-0.281821,-0.353201,0.049861,0.268134,1.465353,0.663218,31.469752,8.874779
0.70319,0.91973,-0.618135,-1.76033,-0.381217,-0.35119,-1.389904,-0.354372,1.652558,3.965436,1.544846,43.436528,8.716387
0.213151,-0.380431,0.009729,2.195862,-0.582323,-0.14754,1.571649,0.306617,2.405538,0.374938,4.144388,84.706985,18.553922
-0.829076,0.405662,2.873161,0.588669,-0.306888,-0.061191,-2.116996,0.087088,1.296495,1.914214,3.707244,56.726521,13.18996
1.756349,-1.40584,1.083453,-2.487197,0.642441,-0.468374,0.236234,-0.243628,2.158596,1.008282,3.836591,68.036644,31.982509
1.383529,0.281237,-0.592174,-2.450991,0.971985,-0.478113,-1.459871,-0.203876,2.982433,1.671217,4.296456,51.961379,16.576425
-0.153611,-1.091603,0.677282,-1.685946,0.833358,-0.283062,-1.300149,-0.421642,2.81126,1.515601,0.538739,18.096077,8.316226
0.730401,-0.22201,-2.024112,1.362607,-0.390329,0.474441,-0.820315,0.154478,0.484282,0.729971,2.163342,56.387019,7.194567
-1.995668,0.315918,1.962566,-1.621964,0.854846,-0.176265,-0.545231,0.023143,3.25429,0.524222,3.704212,24.729371,30.545038
-0.93919,-0.229654,-0.018072,0.295112,0.412357,0.043555,-0.535309,-0.266987,3.081537,0.392078,0.288703,76.391657,18.382617
-1.270239,0.375072,-1.783367,1.737854,0.740673,-0.016748,-0.432824,0.405172,1.901323,0.886167,0.142901,17.799519,20.534187
0.52457,-0.148145,2.329835,-0.588148,-0.90496,-0.437188,-0.290991,0.132025,0.477407,5.374412,1.0191,97.725098,19.4273
1.508329,0.521621,-2.539465,1.435601,-1.465286,-0.299507,0.972047,-0.288291,3.16009,17.85551,1.824303,18.499409,20.062294
-1.418253,-0.626277,2.933858,-0.878625,-1.257362,-0.168088,-1.31056,0.372762,1.181487,2.69716,1.276896,59.358392,15.116258
