x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-0.016538,43.018893,0.521575,1.655328,1.497916,-1.904638,0.2223,1.437883,1.759158,0.065673,2.828626,-1.643311,1.425137
0.050956,2.105924,0.61425,0.583709,-0.222907,-2.561065,-0.204681,-0.761768,-0.897223,3.034937,2.189356,1.206762,13.335671
0.288236,29.047867,0.034066,1.103826,0.291142,-0.990111,-0.081187,-1.650323,-0.661312,1.431573,1.538132,-1.439328,11.813027
0.092715,85.23538,0.076054,2.503693,0.548479,-1.478452,0.200116,-0.189551,1.318149,0.163275,0.107913,-0.039166,4.256013
-0.290673,46.635657,1.699391,2.727966,-1.208724,-1.50636,-0.212527,-2.301914,0.371093,2.874299,1.719624,0.232811,8.19348
-0.134638,80.501263,0.862889,1.8709,-0.051338,1.69795,0.279831,-2.789603,1.639084,0.809637,1.851324,-0.312472,10.271999
0.362873,84.260433,0.865921,1.562083,-1.212621,1.148354,-0.444474,-2.288523,0.134079,0.987507,1.708971,-1.750908,15.275927
-0.335284,68.439739,1.940227,11.196153,0.119816,1.869662,-0.387826,-2.358104,-0.700927,1.158954,1.807989,1.42616,22.930559
-0.341734,6.695419,0.124384,0.81726,0.375858,-1.369599,0.363713,-1.638066,1.808944,2.567815,2.792003,-0.500732,-3.477143
0.263727,64.038373,-1.67563,1.858703,-0.570192,-0.219771,0.259642,-1.875078,-0.534055,1.441505,2.908485,-0.055537,-1.421237
-0.122613,53.136784,-0.233078,0.802709,-0.879488,0.987938,-0.461763,-1.277501,-0.586989,2.367251,1.576754,-1.672226,9.606209
-0.369274,77.126178,0.993675,1.034208,-0.905936,-0.211127,-0.306791,-1.27565,1.411734,0.442424,2.542974,1.555663,18.276262
0.203012,59.602108,1.451774,0.580677,-1.972546,-1.479339,-0.354895,1.756776,-1.432491,0.688861,1.945462,-0.031809,3.2445
0.205574,71.229054,1.837574,0.668006,0.466238,-2.988159,0.150309,-1.219933,0.176342,1.910956,2.727653,-0.753741,20.306188
-0.493837,90.397911,1.588136,1.237355,-0.942417,0.450591,0.023821,1.181726,-0.176298,4.448609,1.019584,-0.451222,29.544067
-0.302307,33.523387,-1.653758,0.609505,-0.303598,-1.179855,0.367462,-2.475676,0.244133,0.110721,2.158901,0.377947,-15.18314
0.170646,10.494272,-1.331539,0.483842,-0.783785,0.936628,0.482192,1.385347,0.225938,0.370368,2.866565,-0.586657,-14.891007
-0.341581,12.345783,1.479758,2.476684,1.228719,1.954548,0.170995,-0.91648,1.326306,3.424592,0.140218,-1.672447,27.055151
-0.252517,12.66726,-0.495852,0.338903,-0.096197,1.350326,-0.181004,-0.978606,-1.101377,2.798557,0.579807,1.537173,12.89549
-0.130002,61.451272,0.673921,1.785303,-1.527626,-2.284439,0.458688,-2.037598,-0.127882,1.165047,1.636932,-0.890445,8.296729
-0.005172,59.948868,-0.877846,2.434981,1.022679,-0.280815,-0.07069,1.164874,-0.834991,0.599976,0.626989,-0.208837,-2.328154
-0.040316,71.110749,0.118624,9.129176,0.622846,2.421454,-0.346311,-0.752358,2.087735,1.33245,1.842784,-0.689302,11.524498
