x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
0.176132,-1.427901,0.491121,0.183501,0.409291,1.167671,-0.496432,-1.83226,-0.733923,83.406213,0.247977,-0.439109,23.727117
1.342277,-0.106718,0.313551,2.64675,0.588443,1.106625,-1.489728,1.037072,-2.70183,36.69494,0.037563,-0.020647,7.21895
-1.957978,-0.136037,0.376875,1.514714,0.350491,0.760577,0.799162,-0.014978,-1.532698,74.355086,0.01901,0.823551,-4.967154
-0.036994,0.095272,-0.233541,3.002666,2.213794,0.565106,-0.165392,-0.968743,0.610146,54.984262,0.460186,-1.08443,9.100945
0.271954,-0.688267,0.091242,3.995345,2.963969,0.970226,0.49149,-2.974591,-1.837834,69.069594,-0.472364,0.057881,15.348017
-1.708985,-0.898555,-0.065842,1.943519,0.165555,0.500171,0.006692,-2.535335,-2.217639,41.898006,-0.054996,0.319984,-17.529366
1.943701,-0.466648,-0.054189,0.858209,2.051519,1.428671,1.075644,-2.463555,-1.117121,23.332439,0.058428,-0.759289,13.961579
0.198571,-0.00547,-0.444843,1.661827,3.45915,6.758445,-0.331839,1.648818,-1.118598,45.201851,0.141051,0.110591,-0.638702
1.920984,0.420449,-0.426884,2.099257,0.405915,4.483648,-0.79415,-2.75865,-1.481466,9.276935,0.42912,0.903534,28.76788
0.23067,-0.406562,-0.363296,0.381233,0.62486,1.175117,1.176999,0.842183,-2.552575,50.808066,0.000744,0.627625,10.346468
0.728803,0.98362,0.26713,2.00487,3.630364,0.666295,-1.151006,0.69395,0.576364,21.331811,0.254956,1.055658,12.570743
1.537838,0.503452,-0.261145,3.268063,0.482808,2.348826,0.162183,-0.667019,-2.371509,46.61665,-0.468278,0.521112,31.00804
1.973517,-0.997969,-0.459608,1.625722,0.866473,0.597226,0.058789,1.779594,-1.988342,2.288316,-0.042942,-0.367166,7.525618
1.209837,-0.111881,-0.132115,2.355226,2.569469,0.553344,1.950203,-0.839725,0.449301,79.442338,0.085251,1.333546,39.261335
-0.475728,2.684736,0.139952,3.97305,0.591825,0.37338,1.535555,-2.427689,2.788038,83.581904,-0.331229,0.828621,17.094326
-0.828653,-0.165451,0.494492,0.986502,0.755295,0.135429,1.131223,-1.233594,-2.312889,43.335617,-0.490658,-0.465671,2.227889
-0.196066,0.304081,0.429937,2.717523,1.370914,1.813789,1.204655,-1.470003,-2.214232,57.092366,-0.334002,0.596936,4.630405
1.125687,0.42615,0.266384,2.407732,0.915875,2.966881,0.549366,-1.342475,1.154618,7.482153,0.395029,-0.586975,21.763165
-1.355828,-0.631794,-0.143951,2.023383,0.257456,0.264393,0.595867,-2.465034,1.394636,66.343732,-0.46417,-0.202526,3.598966
0.580149,-0.33001,0.226431,2.596431,0.307359,0.836246,0.474403,-1.356482,0.874941,84.748606,-0.383909,-0.680726,4.483337
-0.22318,-0.584087,0.082966,0.583036,0.236868,0.547988,-0.461871,2.912532,1.900995,74.675818,0.444748,0.484884,25.303376
-1.398485,-1.31685,0.37711,1.483913,1.083611,0.213571,-0.75263,-2.974394,-1.282918,22.060492,0.152424,-1.446026,-11.342863
0.62893,-2.177641,0.112708,0.506973,0.71512,1.209934,1.786171,1.032524,2.968416,79.200614,0.30446,1.093217,43.294842
-0.885877,-1.177974,0.06977,2.143795,0.164852,0.702496,-1.642412,-0.806044,2.480819,40.900979,-0.371541,-1.196358,17.342101
-0.400495,-0.934781,0.24727,1.561593,0.185607,0.128846,1.998916,2.039831,1.39662,30.685495,0.295822,0.06153,16.975436
-1.335742,-0.192475,-0.403085,3.464253,1.452135,0.900146,-0.808029,0.496586,2.63597,36.22416,0.160503,1.115647,7.195355
0.334193,-1.067985,-0.071135,1.296479,0.236667,0.997594,1.928717,2.667045,-0.506389,15.816228,0.044653,0.145706,15.181209
-1.312128,1.302916,0.432287,3.485194,0.525559,0.398276,1.545735,-1.269307,-2.229762,9.739232,0.008523,0.709142,-2.538836
0.683199,0.087758,0.049871,0.113095,1.922925,1.219699,1.432986,-2.496069,-0.230758,98.208544,0.044963,0.95345,22.855495
-0.937937,-1.476016,0.38384,2.425269,0.431663,3.118267,-0.832839,1.127327,-0.443319,80.502483,0.437507,1.17856,19.507916
-1.130226,-0.513097,-0.40732,3.493198,1.780494,1.127955,1.653874,1.219653,-1.475464,40.142821,0.126139,-1.074047,3.078201
-1.11281,0.921007,-0.304826,2.796192,0.974394,3.615684,0.594495,0.348692,2.765319,23.818457,0.34061,-0.073185,17.001637
0.347955,-1.119016,-0.040599,2.617228,1.517903,1.652208,-0.052692,2.901568,-2.129813,40.227947,-0.020152,0.021641,-0.308235
0.530435,-0.758658,-0.258361,1.233214,0.093938,1.483368,-1.115908,-1.644619,2.152743,86.350641,0.397311,1.104707,41.069495
-1.594995,-0.252938,-0.444028,3.230854,0.203256,1.606076,0.933982,0.499486,-0.14934,23.815404,-0.153993,0.642594,4.589518
-0.057001,0.889693,-0.318797,1.421534,0.794437,1.001681,0.770222,-2.693689,-2.528557,49.193403,0.101627,0.289206,12.313178
-0.041257,0.680054,0.376238,3.866741,0.088649,0.236277,1.39791,-2.381219,-1.291407,65.968391,-0.041968,0.473646,15.440926
0.932433,-0.909184,-0.29071,1.372725,0.115446,1.042293,0.169498,0.298184,-2.373231,15.309192,0.119932,-0.268795,6.249606
-0.135031,1.360852,-0.382346,2.09819,0.659201,0.610741,1.599731,0.609547,0.247368,46.088063,-0.496299,0.532728,21.208053
1.483682,0.335531,0.397252,1.803602,1.453853,0.059513,1.020089,-1.520094,2.410245,98.407811,0.326034,-1.020414,22.886163
-0.051697,-2.212677,-0.193308,0.58882,0.593436,2.557866,0.812798,2.224985,0.328419,26.420513,-0.324198,-2.243646,6.718981
-1.058413,-0.924955,0.361087,1.970409,2.105619,1.199088,1.266023,-2.342955,-1.671944,22.649305,-0.492278,1.432564,7.543817
0.426915,-0.240976,-0.419231,1.907791,0.661859,3.659488,1.665377,-2.139725,0.742494,17.730161,-0.450271,1.895711,12.228967
1.224405,0.672291,-0.007639,2.924742,2.877722,7.394659,0.265039,-2.69333,1.381804,90.216196,0.195335,-0.405349,24.67585
0.428914,0.124925,-0.311124,1.848105,3.521532,1.589407,-1.384314,-1.333952,1.866679,48.336913,-0.008565,-0.338,5.048573
-0.208767,0.208072,-0.00962,0.133643,1.487911,1.853159,-1.683989,-1.048186,-2.455111,69.23089,-0.400717,-1.011685,29.563385
1.1031,-0.264064,0.101261,0.175051,1.494307,0.894209,-0.37209,0.944374,1.445692,27.530627,0.063588,-1.18328,18.644226
1.233625,-0.263761,-0.126369,2.611653,1.491286,1.452839,1.308018,1.908518,-2.121874,62.803703,-0.211799,0.298756,25.870408
0.834473,-0.152081,-0.409179,3.48343,0.833632,1.058823,1.524019,-0.36809,-0.917484,2.526496,0.325593,-2.020977,9.132954
-1.279306,-1.84116,-0.252426,0.703342,0.23569,0.794097,-0.68242,-0.005698,1.273091,89.83012,0.486543,0.187886,3.555031
-0.162115,-0.353798,0.19973,0.954773,0.096309,0.86134,-1.731509,-0.496705,-1.454406,34.674183,0.191202,0.161648,14.439021
1.395911,1.263454,0.167317,1.850616,0.436313,4.94529,-0.601927,-2.482097,-1.696761,68.21866,-0.231574,0.35901,11.322433
