x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-0.445034,0.270064,3.927834,2.906541,-0.13977,-0.083159,-0.751436,3.397028,-1.058988,1.079592,68.366428,0.17921,13.423775
0.535397,2.481611,0.64955,0.17629,1.965427,-0.286329,-1.108725,1.341085,1.936803,-1.444554,48.63071,-0.296535,42.16381
-0.968865,1.057837,1.53612,2.392959,0.12335,0.40928,-0.488359,0.245393,0.094378,0.56274,51.802737,-0.321261,8.659646
-0.777021,3.111586,1.403141,1.545403,-0.933168,0.128566,1.916751,3.174886,-0.505833,-0.354195,71.455692,0.368067,38.923387
-0.595471,3.746487,0.426634,0.483818,-1.164912,0.093981,0.621602,1.311288,0.752502,-1.154708,92.741951,-0.326345,26.082436
-0.080969,1.613502,0.792715,1.167826,-1.546074,-0.277541,1.119221,1.046959,-0.804608,0.523606,43.517871,-0.38845,9.145079
0.159326,0.823682,1.10476,1.96714,-1.868946,-0.127485,-0.481528,3.591644,0.191138,-0.376194,79.878182,-0.281239,6.537073
0.494499,1.303615,0.649805,-1.372992,0.478384,-0.32174,-1.877681,1.978054,-1.920769,0.904417,14.13904,0.372163,-17.495497
0.968095,2.767615,0.947111,1.579561,0.367713,-0.323571,-0.136191,3.845544,1.109469,-0.400168,51.138235,0.375574,14.158519
-1.866198,0.638503,0.126147,2.263243,-0.718911,0.493062,-1.081256,3.939809,-0.937403,-0.086871,49.3371,0.168262,13.404907
2.151586,0.846039,2.321942,-1.660796,0.801547,0.379199,1.415418,3.647729,0.24798,1.280868,13.518475,-0.311883,6.457951
1.011777,0.579021,0.585278,0.238646,0.00162,-0.249885,-1.109398,2.366015,-1.746448,0.454474,46.050106,-0.323781,-8.867299
-0.631755,0.143003,0.603234,-2.131182,1.558257,0.378878,0.165963,0.887398,1.172761,1.019148,67.993911,-0.427237,15.09925
-2.097464,2.0849,1.057545,1.697092,0.031782,-0.033958,-1.928424,0.316956,-1.679543,-1.125956,33.275542,0.264489,16.708255
2.07187,2.899379,2.224382,-0.3288,1.359638,-0.333913,1.461859,1.759287,-0.051383,2.918888,62.706714,-0.46471,13.514716
-1.21271,0.180946,1.312083,1.333271,-1.153776,-0.019177,-0.684212,2.396098,-1.432844,0.151205,50.851142,0.08847,-2.003182
0.18682,0.904759,1.684084,1.394369,-0.818126,0.17357,0.152422,1.148499,0.973947,-0.054784,20.667913,-0.186086,15.604794
-0.539218,0.7274,0.707312,-0.570486,1.768325,-0.029836,-1.216469,1.115447,-0.350513,-1.030331,73.896713,0.419922,23.486899
-0.622735,0.173845,0.512872,-2.962064,-1.543929,0.366822,1.268669,0.250965,-0.240016,0.058601,35.262117,0.39562,-5.552269
-0.709428,1.032311,8.134333,-2.251614,1.372667,-0.139781,0.466111,3.937738,1.740875,-0.06438,77.791108,0.240684,6.497161
-0.138667,1.955501,0.170072,-0.841637,-2.257166,0.351145,-0.811124,1.675628,-1.357615,0.087925,10.124932,0.264433,-8.417502
0.963794,1.538622,0.661275,0.184991,-0.54047,-0.441423,0.256955,2.816714,-1.682698,1.960106,9.816452,0.286358,-19.447393
0.303415,1.547729,0.143567,-0.785602,-1.335172,-0.482909,0.326868,3.277919,0.545028,-1.229247,18.629276,0.111593,14.04952
-0.042455,0.363767,2.401218,1.22703,2.478635,0.442635,-0.253662,0.299319,-1.488484,0.043834,37.231196,-0.453377,-10.813968
